id	query	intent	domain	QueryXml
0	Tetragynia attachments from may to june	file_search	files	<file_keyword> Tetragynia </file_keyword> <attachment> attachments </attachment> from <start_date> may </start_date> to <end_date> june </end_date>
0	attachment cosec hafter	file_search	files	<attachment> attachment </attachment> <file_keyword> cosec hafter </file_keyword>
0	find sheet attachment	file_search	files	find <file_type> sheet </file_type> <attachment> attachment </attachment>
0	where is attachment from fearghal	file_search	files	where is <attachment> attachment </attachment> from <contact_name> fearghal </contact_name>
0	from lindsey berres query response attachment	file_search	files	from <contact_name> lindsey berres </contact_name> <file_keyword> query response </file_keyword> <attachment> attachment </attachment>
0	shuotian cheng with attachment pdf	file_search	files	<contact_name> shuotian cheng </contact_name> with <attachment> attachment </attachment> <file_type> pdf </file_type>
0	from mohit pande with attachment about notify schizoidism ich unfretful	file_search	files	from <contact_name> mohit pande </contact_name> with <attachment> attachment </attachment> about <file_keyword> notify schizoidism ich unfretful </file_keyword>
0	from gabriel alaje attachment tsv	file_search	files	from <contact_name> gabriel alaje </contact_name> <attachment> attachment </attachment> <file_type> tsv </file_type>
0	whats recent attachment that tara overfield sent dennis zwahlen	file_search	files	whats <file_recency> recent </file_recency> <attachment> attachment </attachment> that <contact_name> tara overfield </contact_name> sent <to_contact_name> dennis zwahlen </to_contact_name>
0	tikor hinney Leonist Hochheimer attachment from august 2018	file_search	files	<file_keyword> tikor hinney Leonist Hochheimer </file_keyword> <attachment> attachment </attachment> from <start_date> august 2018 </start_date>
0	find attachments	file_search	files	find <attachment> attachments </attachment>
0	i want to see omnia berkawy attachments with PDF	file_search	files	i want to see <contact_name> omnia berkawy </contact_name> <attachment> attachments </attachment> with <file_type> PDF </file_type>
0	ginnle lovableness mana attachment from leslie robbins	file_search	files	<file_keyword> ginnle lovableness mana </file_keyword> <attachment> attachment </attachment> from <contact_name> leslie robbins </contact_name>
0	message from april 5th with series attachment	file_search	files	message from <start_date> april 5th </start_date> with <file_keyword> series </file_keyword> <attachment> attachment </attachment>
0	sarah turner sent me an attachment regarding explorations rng 01	file_search	files	<contact_name> sarah turner </contact_name> sent <relationship_name_to> me </relationship_name_to> an <attachment> attachment </attachment> regarding <file_keyword> explorations rng 01 </file_keyword>
0	messages from millman with vssx attachments	file_search	files	messages from <contact_name> millman </contact_name> with <file_type> vssx </file_type> <attachment> attachments </attachment>
0	from poorva dharmadhikari all attachments	file_search	files	from <contact_name> poorva dharmadhikari </contact_name> all <attachment> attachments </attachment>
0	show me whencever attachments with presentations	file_search	files	show me <file_keyword> whencever </file_keyword> <attachment> attachments </attachment> with <file_type> presentations </file_type>
0	sent to xiaozhi yu with word attachments	file_search	files	sent to <to_contact_name> xiaozhi yu </to_contact_name> with <file_type> word </file_type> <attachment> attachments </attachment>
0	yesterday attachment from nehal tare	file_search	files	<start_date> yesterday </start_date> <attachment> attachment </attachment> from <contact_name> nehal tare </contact_name>
0	with attachment from rajat aggarwal	file_search	files	with <attachment> attachment </attachment> from <contact_name> rajat aggarwal </contact_name>
0	find docs unindustrialized postpycnotic Shotweld theromorphous attachment sent to nilanjan	file_search	files	find <file_type> docs </file_type> <file_keyword> unindustrialized postpycnotic Shotweld theromorphous </file_keyword> <attachment> attachment </attachment> sent to <to_contact_name> nilanjan </to_contact_name>
0	from mirchandani with attachment to nathan burch	file_search	files	from <contact_name> mirchandani </contact_name> with <attachment> attachment </attachment> to <to_contact_name> nathan burch </to_contact_name>
0	from martino oggiano about unassimilative with attachment last week	file_search	files	from <contact_name> martino oggiano </contact_name> about <file_keyword> unassimilative </file_keyword> with <attachment> attachment </attachment> <start_date> last week </start_date>
0	from fukujima with attachment	file_search	files	from <contact_name> fukujima </contact_name> <attachment> with attachment </attachment>
0	whats latest attachment dreessen sent me	file_search	files	whataposs <order_ref> latest </order_ref> <attachment> attachment </attachment> <contact_name> dreessen </contact_name> sent <relationship_name_to> me </relationship_name_to>
0	what is recently attachment that paula kuehl sent me	file_search	files	what is <file_recency> recently </file_recency> <attachment> attachment </attachment> that <contact_name> paula kuehl </contact_name> sent <relationship_name_to> me </relationship_name_to>
0	with attachments yesterday	file_search	files	with <attachment> attachments </attachment> <start_date> yesterday </start_date>
0	why skills59942 from pena with attachment	file_search	files	<file_keyword> why skills59942 </file_keyword> from <contact_name> pena </contact_name> with <attachment> attachment </attachment>
0	whats recent attachment that max yanchenko sent michael kwan	file_search	files	whats <file_recency> recent </file_recency> <attachment> attachment </attachment> that <contact_name> max yanchenko </contact_name> sent <to_contact_name> michael kwan </to_contact_name>
0	from andrea woodland vdw attachment	file_search	files	from <contact_name> andrea woodland </contact_name> <file_type> vdw </file_type> <attachment> attachment </attachment>
0	events breakdown attachments from june to july	file_search	files	<file_keyword> events breakdown </file_keyword> <attachment> attachments </attachment> from <start_date> june </start_date> to <end_date> july </end_date>
0	whats last attachment tyler beday sent me	file_search	files	whataposs <order_ref> last </order_ref> <attachment> attachment </attachment> <contact_name> tyler beday </contact_name> sent <relationship_name_to> me </relationship_name_to>
0	look for messages with vssm attachments	file_search	files	look for messages with <file_type> vssm </file_type> <attachment> attachments </attachment>
0	sriram mohan s messages from last week with attachment	file_search	files	<contact_name> sriram mohan </contact_name> s messages from <start_date> last week </start_date> with <attachment> attachment </attachment>
