ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
df4924a1-3205-4688-9eb5-4f14fd187c3a	0		user	.net training	NOTSURE	search_email	<keyword>.net training</keyword>	[]		1
2d5080b8-e1ce-41d1-acac-c4cc35a08903	0		user	1:1 ankur	NOTSURE	search_email	<keyword>1:1</keyword> <contact_name>ankur</contact_name>	[]		1
b57f459c-2578-49cd-a6b6-9a9d9dda9c7a	0		user	3s docs from dragos	EMAILSEARCH	search_email	<keyword>3s</keyword> <attachment_type>docs</attachment_type> from <contact_name_from>dragos</contact_name_from>	[]		1
d550a7ac-713e-467c-80cb-b8d50d161ccd	0		user	3s from dragos	EMAILSEARCH	search_email	<keyword>3s</keyword> from <contact_name_from>dragos</contact_name_from>	[]		1
4fa15b48-ca40-4886-9ff4-b32a061640b1	0		user	all emails from David	EMAILSEARCH	search_email	all <message_type>emails</message_type> from <contact_name_from>David</contact_name_from>	[]		1
3ba52cf3-8d2e-49ba-9969-b2baa848a441	0		user	all hands by david	EMAILSEARCH	search_email	<keyword>all hands</keyword> by <contact_name_from>david</contact_name_from>	[]		1
253ac699-d9ad-4f6b-b124-870e2c429181	0		user	approve flights has	NOTSURE	search_email	<keyword>approve flights has</keyword>	[]		1
2bb0bca1-32b5-489e-a295-0d0575d219c1	0		user	Avocado report	NOTSURE	search_email	<keyword>Avocado report</keyword>	[]		1
24dc242d-2ccc-43b2-aa10-2ce945f4564e	0		user	background	NOTSURE	search_email	<keyword>background</keyword>	[]		1
acf942cd-2c4d-4f26-a5af-b4cbae4c07fa	0		user	background check	NOTSURE	search_email	<keyword>background check</keyword>	[]		1
1ff4ed61-d6e8-473c-82f1-9fa164fe40f6	0		user	Bigfunnel rollout update from Tariq sent around Christmas	EMAILSEARCH	search_email	<keyword>Bigfunnel rollout update</keyword> from <contact_name_from>Tariq</contact_name_from> sent around <start_date>Christmas</start_date>	[]		1
9a7bf9f3-950a-4d54-9881-41d2c86ce64a	0		user	book recommendations from bill gates	EMAILSEARCH	search_email	<keyword>book recommendations</keyword> from <contact_name_from>bill gates</contact_name_from>	[]		1
5405c27f-2bf0-4d47-bed4-b0f3853dc801	0		user	brunch with adam	EMAILSEARCH	search_email	<keyword>brunch</keyword> with <contact_name>adam</contact_name>	[]		1
1ef04b8b-da18-4c74-97ed-718340c40f72	0		user	bug reports on substrate	NOTSURE	search_email	<keyword>bug reports on substrate</keyword>	[]		1
558e1987-980c-4cf4-a4ac-1b48e8df1f93	0		user	client contract	NOTSURE	search_email	<keyword>client contract</keyword>	[]		1
26545694-cd1b-48b3-ae23-e08de962736d	0		user	code review	NOTSURE	search_email	<keyword>code review</keyword>	[]		1
923a9ab7-903b-4a25-9ab2-1aaa544d5879	0		user	code review from yunus	EMAILSEARCH	search_email	<keyword>code review</keyword> from <contact_name_from>yunus</contact_name_from>	[]		1
83016f1e-fe42-4df4-8c0d-7c6dc2a1faa7	0		user	Code review sent by members of 3SDevs	EMAILSEARCH	search_email	<keyword>Code review</keyword> <email_state>sent</email_state> by <contact_name_from>members of 3SDevs</contact_name_from>	[]		1
82a7d4f1-3adb-4bb3-be4e-a57df6c0b285	0		user	codereview	NOTSURE	search_email	<keyword>codereview</keyword>	[]		1
fcfa3f02-f5d7-4aec-be8c-31cd786e60bd	0		user	competitive analysis with google	NOTSURE	search_email	<keyword>competitive analysis with google</keyword>	[]		1
8a6deb66-b99c-4599-84a6-89894cf3df3a	0		user	competitive review	NOTSURE	search_email	<keyword>competitive review</keyword>	[]		1
e84d8c96-a516-4714-bb81-332bd4787559	0		user	ComposableRequest	NOTSURE	search_email	<keyword>ComposableRequest</keyword>	[]		1
95bd6fc8-8358-4dcd-bf2b-354ad7bfa719	0		user	concur hotel	NOTSURE	search_email	<keyword>concur hotel</keyword>	[]		1
49518587-1b69-4d0b-b505-9994d87e2110	0		user	connect request	NOTSURE	search_email	<keyword>connect request</keyword>	[]		1
9d4ecbac-fc78-4b30-a9ce-b4a10cb7a363	0		user	customer satisfaction survey	NOTSURE	search_email	<keyword>customer satisfaction survey</keyword>	[]		1
541a4802-6fab-440d-9aac-9ca42e723119	0		user	default datetime	NOTSURE	search_email	<keyword>default datetime</keyword>	[]		1
95e6c2a3-b240-4868-983b-525c3f32a57e	0		user	deleted emails to 3SDevs	EMAILSEARCH	search_email	<message_category>deleted</message_category> <message_type>emails</message_type> to <keyword>3SDevs</keyword>	[]		1
fe9b43b6-32f9-4e84-bf5a-571640b3cf3b	0		user	demo tenant	NOTSURE	search_email	<keyword>demo tenant</keyword>	[]		1
663e3971-9b45-49b7-9756-d5b7d8a40d45	0		user	design document from sitaram	EMAILSEARCH	search_email	<keyword>design</keyword> <attachment_type>document</attachment_type> from <contact_name_from>sitaram</contact_name_from>	[]		1
11a584de-daa7-48f8-aa80-1240506d6173	0		user	design documents for review	EMAILSEARCH	search_email	<keyword>design</keyword> <attachment_type>documents</attachment_type> for <keyword>review</keyword>	[]		1
62694006-ef21-4df7-ad7c-98e7161ada9e	0		user	email threads with Jeff which have Mary in it	EMAILSEARCH	search_email	<message_type>email</message_type> <message_type>threads</message_type> with <contact_name>Jeff</contact_name> which have <keyword>Mary</keyword> in it	[]		1
ca4748fb-c2bc-48ec-9400-17c865f2171d	0		user	emails deleted between 22 Jan to/till yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> deleted between <start_date>22 Jan to/till yesterday</start_date>	[]		1
bc01ed88-0339-453b-92dc-dffc786ab090	0		user	emails from ankur gupta	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>ankur gupta</contact_name_from>	[]		1
4dcb6194-c6ba-42c1-8a5b-5d457b40336c	0		user	emails from David	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from>	[]		1
6911ca62-fe48-47ee-9421-4168db06b3f9	0		user	emails from David between 1 Jan to 22 Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> between <start_date>1 Jan</start_date> to <end_date>22 Jan</end_date>	[]		1
c58535d8-38dd-4902-a5d5-74f46aa1d575	0		user	emails from David received on 2 days ago	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on <start_date>2 days ago</start_date>	[]		1
74c933b2-7a0f-4879-9cf8-a9cd6e056d1f	0		user	emails from David received on 2 days before yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on <start_date>2 days before yesterday</start_date>	[]		1
e52bfba8-11c4-45a6-888a-95081b008e52	0		user	emails from David received on at around 2AM GST	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on at around <start_time>2AM GST</start_time>	[]		1
3caf85f5-13e8-4819-85a2-f35c5bbf2b9a	0		user	emails from David received on at around 2PM	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on at around <start_time>2PM</start_time>	[]		1
902ad70c-cb5b-4e50-aa53-38db9e155e81	0		user	emails from David received on on 22 Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on on <start_date>22 Jan</start_date>	[]		1
