TurnNumber	PreviousTurnIntent	query	intent	PreviousTurnDomain	TaskFrameStatus	TaskFrameEntityStates	TaskFrameGUID	SpeechPeopleDisambiguationGrammarMatches	ConversationalContext
0		Body painting art.	file_other						
0		How do I take	file_other						
0		Mileage from stevensville Texas to	file_other						
0		Take me to msn.com	file_other						
0		100%.	file_other						
0		Jason Gould how deep is the ocean.	file_other						
0		Recliner covers	file_other						
0		hotmail sign in	file_other						
0		Stop.	file_other						
0		Round table pizza.	file_other						
0		Cheap like your getting bigger.	file_other						
0		This evening city Oregon.	file_other						
0		when does winter end?	file_other						
0		ADD WEATHER CHANNELS	file_other						
0		My leg and why would I shows like people things that just mine and I was like that's true I'm just not trying to be exposed	file_other						
0		Who won the gold medal in women's bobsled	file_other						
0		How is?	file_other						
0		Don't get around much anymore	file_other						
0		Can you hear me loud and clear?	file_other						
0		Stop.	file_other						
0		Stop.	file_other						
0		Who is the worlds most recognizable mascot?	file_other						
0		Stop.	file_other						
0		die	file_other						
0		Bright.	file_other						
0		YouTube	file_other						
0		To work	file_other						
0		Tell me a nerd joke.	file_other						
0		Why is Daphne no longer on The Chew	file_other						
0		aol news sports weather entertainment	file_other						
0		Boxing classes with problem yeah how far from Denver Colorado	file_other						
0		when does winter end?	file_other						
0		Greatest showman.	file_other						
0		Show taskbar.	file_other						
0		Sing a song	file_other						
0		Convert $60 to eat.	file_other						
0		Temperature	file_other						
0		Spell scared.	file_other						
0		Painting	file_other						
0		aol mail login	file_other						
0		Stop.	file_other						
0		Last year.	file_other						
0		Do you love me?	file_other						
0		What's the score of the Alabama game	file_other						
0		How to move?	file_other						
0		Jerry.	file_other						
0		Why don't you have that Alan grier AM so	file_other						
0		YouTube	file_other						
0		YouTube	file_other						
0		What is the top selling bass boat in the United States?	file_other						
0		Goodbye.	file_other						
0		pandora jewelry	file_other						
0		Album.	file_other						
0		1976 Monte Carlo for sale burgundy	file_other						
0		show me games	file_other						
0		Lime torrent.	file_other						
0		Nude sex tubes.	file_other						
0		google	file_other						
0		What time is it?	file_other						
0		Why is my computer running so slow?	file_other						
0		how do i import photos from my iphone	file_other						
0		Here so now I get home.	file_other						
0		B*** **.	file_other						
0		Stop.	file_other						
0		3 sided fireplaces	file_other						
0		Inbox	file_other						
0		Don't.	file_other						
0		cc	file_other						
0		Spell girl.	file_other						
0		Stop.	file_other						
0		Tell.	file_other						
0		What time is it?	file_other						
0		What was the date of your last firmware update?	file_other						
0		What is the Microsoft net worth	file_other						
0		What it?	file_other						
0		Electric	file_other						
0		school specialty.com	file_other						
0		Stop.	file_other						
0		Google map	file_other						
0		Stop.	file_other						
0		Open Gmail	file_other						
0		Man.	file_other						
