ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
b61827b8-968f-46a7-bc5c-71478110d553	0	3/3/2020 23:42	user	find attachments from mads mbuso sibeko		FILES	file_search	find <attachment> attachments </attachment> from <contact_name> mads mbuso sibeko </contact_name>	[]		Teams	Speech	1	21.1
55498ac5-002e-497f-8734-1062bd52f41c	0	3/3/2020 20:51	user	Coelacanthini hamartite attachments		FILES	file_search	<file_keyword> Coelacanthini hamartite </file_keyword> <attachment> attachments </attachment>	[]		Teams	Speech	1	21.1
c2481081-e5e1-4f9e-81a5-3bc598d97c7c	0	3/25/2020 1:53	user	to juan carlos luciani with Zygodactylae reperusal gaudily attachment		FILES	file_search	to <to_contact_name> juan carlos luciani </to_contact_name> with <file_keyword> Zygodactylae reperusal gaudily </file_keyword> <attachment> attachment </attachment>	[]		Teams	Speech	1	21.1
1f34a825-ca11-491b-a681-1516d21c88f0	0	3/31/2020 12:18	user	to ronald hetterscheidt attachment decks		FILES	file_search	to <to_contact_name> ronald hetterscheidt </to_contact_name> <attachment> attachment </attachment> <file_type> decks </file_type>	[]		Teams	Speech	1	21.1
6fd89169-e57b-4b34-8496-b8664251c60b	0	3/10/2020 8:43	user	attachment about mian mottle somatoplasm		FILES	file_search	<attachment> attachment </attachment> about <file_keyword> mian mottle somatoplasm </file_keyword>	[]		Teams	Speech	1	21.1
11e33dd9-7901-4324-866a-80989e558a73	0	3/9/2020 13:42	user	gather siddartha vandanapu all attachments		FILES	file_search	gather <contact_name> siddartha vandanapu </contact_name> all <attachment> attachments </attachment>	[]		Teams	Speech	1	21.1
94f1db9b-25e2-4f48-9f5a-8c8200f48fb6	0	3/23/2020 23:57	user	show me Alhambresque Elatha reheal communistery attachments with mpt		FILES	file_search	show me <file_keyword> Alhambresque Elatha reheal communistery </file_keyword> <attachment> attachments </attachment> with <file_type> mpt </file_type>	[]		Teams	Speech	1	21.1
8c61e7ac-771c-4f13-b91b-0ca6d4f60188	0	3/4/2020 10:07	user	show me genethlic diathermous attachments with notebooks		FILES	file_search	show me <file_keyword> genethlic diathermous </file_keyword> <attachment> attachments </attachment> with <file_type> notebooks </file_type>	[]		Teams	Speech	1	21.1
42831a15-faa6-42ba-b7a6-aa85307533ec	0	3/1/2020 14:11	user	shell landfall attachments from june to july		FILES	file_search	<file_keyword> shell landfall </file_keyword> <attachment> attachments </attachment> from <date> june </date> to <date> july </date>	[]		Teams	Speech	1	21.1
80c1594c-e0be-42d6-9b34-727b936c553b	0	3/2/2020 2:54	user	where is attachment from lyra		FILES	file_search	where is <attachment> attachment </attachment> from <contact_name> lyra </contact_name>	[]		Teams	Speech	1	21.1
8fca9823-360a-46f1-b34c-b4952ebbafd8	0	3/18/2020 5:57	user	from novotná about android scenarios with attachment last week		FILES	file_search	from <contact_name> novotná </contact_name> about <file_keyword> android scenarios </file_keyword> with <attachment> attachment </attachment> <date> last week </date>	[]		Teams	Speech	1	21.1
c0081b2f-2867-429a-b38e-c82e55971331	0	3/5/2020 9:34	user	overimitation centiplume attachments		FILES	file_search	<file_keyword> overimitation centiplume </file_keyword> <attachment> attachments </attachment>	[]		Teams	Speech	1	21.1
002406f5-3811-40e3-9235-88cc43783240	0	3/5/2020 17:27	user	tony capone received attachment from jan smessaert		FILES	file_search	<to_contact_name> tony capone </to_contact_name> received <attachment> attachment </attachment> from <contact_name> jan smessaert </contact_name>	[]		Teams	Speech	1	21.1
8abbf768-a30c-44c3-9f71-5c118257e8ba	0	3/31/2020 22:30	user	i want to see rokas attachments with tsv		FILES	file_search	i want to see <contact_name> rokas </contact_name> <attachment> attachments </attachment> with <file_type> tsv </file_type>	[]		Teams	Speech	1	21.1
186a7032-e65a-46aa-99ed-68d5d00a9382	0	3/27/2020 14:17	user	word attachment		FILES	file_search	<file_type> word </file_type> <attachment> attachment </attachment>	[]		Teams	Speech	1	21.1
d282d7f0-b992-41ab-a04d-6f2e001a631d	0	3/30/2020 11:16	user	vsd attachment orangism anteresurrection		FILES	file_search	<file_type> vsd </file_type> <attachment> attachment </attachment> <file_keyword> orangism anteresurrection </file_keyword>	[]		Teams	Speech	1	21.1
0e7eb8cc-9f69-4024-9213-d3a00a817e12	0	3/13/2020 2:43	user	whats latest attachment lenell sent srikanth tanneru		FILES	file_search	whataposs <order_ref> latest </order_ref> <attachment> attachment </attachment> <contact_name> lenell </contact_name> <file_action> sent </file_action> <to_contact_name> srikanth tanneru </to_contact_name>	[]		Teams	Speech	1	21.1
abd949f1-1c2a-4c4c-9691-0c05130f5378	0	3/18/2020 9:24	user	from thomas karagounis attachment power point		FILES	file_search	from <contact_name> thomas karagounis </contact_name> <attachment> attachment </attachment> <file_type> power point </file_type>	[]		Teams	Speech	1	21.1
43446e42-1a5b-45a2-b15e-42afc295ff4b	0	3/9/2020 8:09	user	to stephanie morillo attachment tsv		FILES	file_search	to <to_contact_name> stephanie morillo </to_contact_name> <attachment> attachment </attachment> <file_type> tsv </file_type>	[]		Teams	Speech	1	21.1
da61733b-ca6e-4926-be3d-45d211fa208f	0	3/7/2020 0:34	user	cortana r2 was included on attachment		FILES	file_search	<file_keyword> cortana r2 </file_keyword> was included on <attachment> attachment </attachment>	[]		Teams	Speech	1	21.1
ed899772-bf8a-4274-b090-28a958d35683	0	3/4/2020 9:49	user	from haemer with attachment about prerighteous radioscope unvictualled premeditative		FILES	file_search	from <contact_name> haemer </contact_name> with <attachment> attachment </attachment> about <file_keyword> prerighteous radioscope unvictualled premeditative </file_keyword>	[]		Teams	Speech	1	21.1
19caa1ab-27c2-452a-b74a-523e66cbe140	0	3/11/2020 16:26	user	rahul bandaru with vstm attachments		FILES	file_search	<contact_name> rahul bandaru </contact_name> with <file_type> vstm </file_type> <attachment> attachments </attachment>	[]		Teams	Speech	1	21.1
0255c40c-f372-4ba6-aac7-9bbfaeab43c4	0	3/2/2020 1:27	user	what is latest attachment that katelynn bailey sent javier hernandez		FILES	file_search	what is <order_ref> latest </order_ref> <attachment> attachment </attachment> that <contact_name> katelynn bailey </contact_name> <file_action> sent </file_action> <to_contact_name> javier hernandez </to_contact_name>	[]		Teams	Speech	1	21.1
038b8776-5e48-4ade-8802-cac3fa1c476f	0	3/13/2020 6:29	user	show me most recent attachments sent by vikas gupta		FILES	file_search	show me most <file_recency> recent </file_recency> <attachment> attachments </attachment> <file_action> sent </file_action> by <contact_name> vikas gupta </contact_name>	[]		Teams	Speech	1	21.1
bc041680-134c-459e-85df-7c655b1ac3e6	0	3/25/2020 19:47	user	presentation attachment from january		FILES	file_search	<file_type> presentation </file_type> <attachment> attachment </attachment> from <date> january </date>	[]		Teams	Speech	1	21.1
1af5247c-cff8-46bd-bd40-1543b02d4c43	0	3/3/2020 17:33	user	msg attachment roadsman		FILES	file_search	<file_type> msg </file_type> <attachment> attachment </attachment> <file_keyword> roadsman </file_keyword>	[]		Teams	Speech	1	21.1
