ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
186106395	0		user	show me mails from Allison with powerpoint		EMAILSEARCH	search_email	show me <message_type>mails</message_type> from <contact_name_from>Allison</contact_name_from> with <attachment_type>powerpoint</attachment_type>	[]		1
186106394	0		user	find latest file from your own place		FILES	file_search	find <order_ref>latest</order_ref> file from <contact_name>your own place</contact_name>	[]		1
186106390	0		user	what do i have today		CALENDAR	find_calendar_entry	what do i have <start_date>today</start_date>	[]		1
186106388	0		user	who is Jon Hamaker's manager		PEOPLE	search_org_chart	who is <contact_name>Jon Hamaker</contact_name>'s <relationship_name>manager</relationship_name>	[]		1
186106387	0		user	emails from my team		EMAILSEARCH	search_email	<message_type>emails</message_type> from <relationship_name_from>my team</relationship_name_from>	[]		1
186106384	0		user	emails from Allison from a		EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>Allison</contact_name_from> from <contact_name_from>a</contact_name_from>	[]		1
186106397	0		user	search for search for messages from Malik		EMAILSEARCH	search_email	search for search for messages from <contact_name_from>Malik</contact_name_from>	[]		1
186106399	0		user	by carving between headphones		NOTSURE	other_domain	by carving between headphones	[]		1
186106404	0		user	Andrew		NOTSURE	other_domain	Andrew	[]		10
186106405	0		user	find new emails from Malik		EMAILSEARCH	search_email	find <message_category>new</message_category> <message_type>emails</message_type> from <contact_name_from>Malik</contact_name_from>	[]		1
186106406	0		user	oh it's horrible		NOTSURE	other_domain	oh it's horrible	[]		1
186106407	0		user	from Malik with attachments		EMAILSEARCH	search_email	from <contact_name_from>Malik</contact_name_from> with <attachment>attachments</attachment>	[]		1
186106409	0		user	mails from Waleed		EMAILSEARCH	search_email	<message_type>mails</message_type> from <contact_name_from>Waleed</contact_name_from>	[]		1
186106370	0		user	call		NOTSURE	other_domain	call	[]		2
186106368	0		user	find jack huddle		PEOPLE	search_people_by_name	find <contact_name>jack huddle</contact_name>	[]		1
186106366	0		user	great		NOTSURE	other_domain	great	[]		1
186106425	0		user	search for something new		NOTSURE	other_domain	search for something new	[]		3
186106426	0		user	call Steven		NOTSURE	other_domain	call Steven	[]		1
186106428	0		user	show my show my emails from Jim Xu		EMAILSEARCH	search_email	show my show my <message_type>emails</message_type> from <contact_name_from>Jim Xu</contact_name_from>	[]		1
186106362	0		user	next meeting with Diego		CALENDAR	find_calendar_entry	<start_time>next</start_time> meeting with <contact_name>Diego</contact_name>	[]		1
186106359	0		user	show me emails from Ashok		EMAILSEARCH	search_email	show me <message_type>emails</message_type> from <contact_name_from>Ashok</contact_name_from>	[]		1
186106357	0		user	look for emails from emails from		EMAILSEARCH	search_email	look for <message_type>emails</message_type> from <message_type>emails</message_type> from	[]		2
186106355	0		user	find meeting J A C huddle		CALENDAR	find_calendar_entry	find meeting <title>J A C huddle</title>	[]		1
186106354	0		user	show me emails from Malik with attachments in december		EMAILSEARCH	search_email	show me <message_type>emails</message_type> from <contact_name_from>Malik</contact_name_from> with <attachment>attachments</attachment> in <start_date>december</start_date>	[]		1
186106353	0		user	mails from Allison		EMAILSEARCH	search_email	<message_type>mails</message_type> from <contact_name_from>Allison</contact_name_from>	[]		1
186106352	0		user	ppt four		EMAILSEARCH	search_email	<attachment_type>ppt</attachment_type> <keyword>four</keyword>	[]		1
186106375	0		user	Liska 's email		EMAILSEARCH	search_email	<contact_name>Liska</contact_name> 's <message_type>email</message_type>	[]		1
186106374	0		user	emails from Isaac last month		EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>Isaac</contact_name_from> <start_date>last month</start_date>	[]		1
186106373	0		user	find shuttle		EMAILSEARCH	search_email	find <keyword>shuttle</keyword>	[]		1
