ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
25776c52-62cc-4689-a07e-1be119d9869f	0	3/27/2020 1:34	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	305	21.1
9c6baf77-3df8-4fe0-b27c-26ecb95742b8	0	3/8/2020 14:50	user	Send a message.		COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	208	21.1
cf966bdb-db64-4359-8f07-31a7468aeb5d	0	3/11/2020 7:22	user	What can you do?		COMMON	help	What can you do?	[]		Teams	Speech	193	21.1
afac57be-c7c5-4909-8724-a7c189ccf501	0	3/13/2020 10:34	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	189	21.1
bb3cfbf0-f688-402a-87b6-4f4a34310779	0	3/9/2020 13:33	user	Hello.		NOTSURE	other_domain	Hello.	[]		Teams	Speech	176	21.1
8e4ac287-a57b-48ea-949a-d72f75cc196e	0	3/9/2020 11:15	user	Help.		COMMON	help	Help.	[]		Teams	Speech	168	21.1
e34eb6d7-d86b-4136-be3f-08d3f1b005f5	0	3/9/2020 23:37	user	Present the deck.		INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	155	21.1
58661d09-fb7e-41e9-8b0e-329bc395dd89	0	3/23/2020 23:26	user	Hey Cortana cancel that.		COMMON	cancel	Hey Cortana cancel that.	[]		Teams	Speech	135	21.1
57e20597-0404-41ff-8e50-4cf269040665	0	3/30/2020 9:35	user	Read my messages.		COMMUNICATION	query_message	Read my messages.	[]		Teams	Speech	133	21.1
5cf2fb77-0801-4817-85e9-03bee730d8db	0	3/31/2020 7:34	user	My next meeting.		CALENDAR	find_calendar_entry	My <start_time>next</start_time> meeting.	[]		Teams	Speech	113	21.1
8cfb285a-7568-4f2c-a9de-4545b79bbc25	0	3/13/2020 20:37	user	Call 409-444-6721.		COMMUNICATION	make_call	Call <phone_number>409-444-6721</phone_number>.	[]		Teams	Speech	113	21.1
409375f9-e7a2-4f0d-a1d5-e886794975ca	0	3/18/2020 8:40	user	What is new testing?		NOTSURE	other_domain	What is new testing?	[]		Teams	Speech	110	21.1
8a41685c-f60d-4bef-9856-0e167a0042af	0	3/19/2020 9:31	user	What's my next meeting?		CALENDAR	find_calendar_entry	What's my <start_time>next</start_time> meeting?	[]		Teams	Speech	108	21.1
ce424eb6-b2b6-40e5-a4b0-c023b598b229	0	3/4/2020 14:36	user	Who is?		NOTSURE	ambiguous	Who is?	[]		Teams	Speech	108	21.1
30a05525-e605-4c8b-920f-4395823d0f08	0	3/9/2020 2:45	user	Cortana.		NOTSURE	other_domain	Cortana.	[]		Teams	Speech	100	21.1
4f9b400d-d045-4346-adc6-44d128bb01b7	0	3/5/2020 21:32	user	Join the meeting.		CALENDAR	connect_to_meeting	Join the meeting.	[]		Teams	Speech	92	21.1
3a352d51-dc99-4026-8aa1-df210557c388	0	3/5/2020 2:57	user	What's on my calendar?		CALENDAR	find_calendar_entry	What's on my calendar?	[]		Teams	Speech	90	21.1
ec8e3b6b-272e-4426-8173-19b5addbba95	0	3/18/2020 6:59	user	Make a call.		COMMUNICATION	make_call	Make a call.	[]		Teams	Speech	90	21.1
0831a9f5-4430-4681-a8df-1c4ecb0e544f	0	3/10/2020 0:52	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	84	21.1
