ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion	NotCallingLU	AppFlavor
d6bbc60d-a3f2-434f-961d-84209c0b0051	0		user	Play my emails.		NOTSURE	other_domain	Play my emails.	[]		OutlookVoiceSearch	Speech	19	1.13		
13c97438-eef9-4af3-ac92-decb8855e0ad	0		user	Vacation.		NOTSURE	notsure_other	Vacation.	[]		OutlookVoiceSearch	Speech	8	1.13		
c6a4e76f-c42f-45be-9619-c41636bbb0b5	0		user	Make a phone call.		NOTSURE	other_domain	Make a phone call.	[]		OutlookVoiceSearch	Speech	6	1.13		
03e8377f-837a-4491-aeb2-c4fb1bb65bac	0		user	What is Shwetambari alias?		PEOPLE	search_people_attribute	What is <contact_name>Shwetambari</contact_name> <people_attribute>alias</people_attribute>?	[]		OutlookVoiceSearch	Speech	6	1.13		
44cbb2e1-465a-4a7b-95c3-03325860c36d	0		user	Do I have any meetings today?		CALENDAR	find_calendar_entry	Do I have any meetings <start_date>today</start_date>?	[]		OutlookVoiceSearch	Speech	6	1.13		
7d87ac45-1140-4874-9c59-e921f122fc37	0		user	Find email from Shwetambari Mokadam about test results.		EMAILSEARCH	search_email	Find <message_type>email</message_type> from <contact_name_from>Shwetambari Mokadam</contact_name_from> about <keyword>test results</keyword>.	[]		OutlookVoiceSearch	Speech	6	1.13		
30a1a535-c940-48c2-843a-87c37c34aa45	0		user	Create a meeting.		CALENDAR	create_calendar_entry	Create a meeting.	[]		OutlookVoiceSearch	Speech	6	1.13		
ed29df94-d6c4-463c-8601-a329daf1be1b	0		user	Create a meeting with Craig.		CALENDAR	create_calendar_entry	Create a meeting with <contact_name>Craig</contact_name>.	[]		OutlookVoiceSearch	Speech	6	1.13		
89068939-84cd-4313-95ad-4ab051b8ab12	0		user	Open the unique name deck.		FILES	file_open	Open the <file_keyword>unique name</file_keyword> <file_type>deck</file_type>.	[]		OutlookVoiceSearch	Speech	6	1.13		
04eeadcb-c868-4b43-bd33-44f781597533	0		user	Call Craig.		NOTSURE	other_domain	Call Craig.	[]		OutlookVoiceSearch	Speech	5	1.13		
06615601-2591-444d-9fe8-7a57fe8c756c	0		user	Driving usage.		NOTSURE	other_domain	Driving usage.	[]		OutlookVoiceSearch	Speech	5	1.13		
ec25c22c-a9f9-41d0-8ab0-353d325e675b	0		user	My next meeting.		CALENDAR	find_calendar_entry	My <start_time>next</start_time> meeting.	[]		OutlookVoiceSearch	Speech	5	1.13		
