ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
d73b9221-1d61-4b64-a1f3-e25e718c244f	0	11/22/2019 8:06	user	Who is Siyao Hu?	Siyao Hu (Wicresoft). reports to Xiao Zhang.	PEOPLE	search_people_by_name	Who is <contact_name>Siyao Hu</contact_name>?	[]		Teams	Speech	244	19.17
53c67f22-ed1a-4dc6-9f42-24cf54b4b797	0	11/5/2019 3:03	user	What can you do?	Here's how I can help.	COMMON	help	What can you do?	[]		Teams	Speech	235	19.17
4657d7d0-7797-4af1-8acc-53f795ee9438	0	11/25/2019 4:11	user	Who is Harry?	Harry He. the SENIOR PROGRAM MANAGER. reports to Donald Huo. You can ask me to call or message this person.	PEOPLE	search_people_by_name	Who is <contact_name>Harry</contact_name>?	[]		Teams	Speech	216	19.17
5e42e1c7-1038-44db-92cd-62f75f58f747	0	11/26/2019 6:37	user	Hello.	Sorry, I don't know the answer to this one.	NOTSURE	other_domain	Hello.	[]		Teams	Speech	191	19.17
c1003c64-e2e4-44fd-87aa-a23d2dc2c4bf	0	11/27/2019 0:48	user	Hey Cortana cancel.		COMMON	cancel	Hey Cortana cancel.	[]		Teams	Speech	190	19.17
1d9dd5ba-0959-463c-9fe9-f4488d3216b0	0	11/1/2019 7:32	user	Help.	Here's how I can help.	COMMON	help	Help.	[]		Teams	Speech	184	19.17
1c599ae4-3a27-4d9e-9fc5-748d970e00d8	0	11/8/2019 19:33	user	Join my meeting.		CALENDAR	connect_to_meeting	Join my meeting.	[]		Teams	Speech	159	19.17
9f05acd0-10b7-44df-b472-a6eb57ab80a3	0	11/20/2019 10:00	user	Present the deck.		INMEETING	start_presenting	Present the deck.	[]		Teams	Speech	145	19.17
d527a0ae-eb31-414c-b796-d123c0350d46	0	11/20/2019 2:49	user	What's my next meeting?	Here's what's next.	CALENDAR	find_calendar_entry	What&apos;s my <start_time>next</start_time> meeting?	[]		Teams	Speech	144	19.17
fbc40334-fffc-4d8d-a65c-999776577e0b	0	11/19/2019 1:02	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	142	19.17
b0f2a161-fcac-4d14-8292-0669eb26e350	0	11/5/2019 12:44	user	Read my messages.	There is no messages to read now. Have a nice day!	COMMUNICATION	query_message	Read my messages.	[]		Teams	Speech	125	19.17
887082b8-db68-4548-8415-651a00e8d248	0	11/12/2019 23:31	user	Send a message.		COMMUNICATION	send_text	Send a message.	[]		Teams	Speech	119	19.17
08673750-2bde-46f1-bfa8-cc581553d684	0	11/21/2019 8:41	user	Who is Kaiqi Wang?		PEOPLE	search_people_by_name	Who is <contact_name>Kaiqi Wang</contact_name>?	[]		Teams	Speech	114	19.17
80887e0d-ac0c-47c9-bc3d-f214bba57c06	0	11/17/2019 12:03	user	Get my messages.	I'm sorry, but I can't help with that.	COMMUNICATION	query_message	Get my messages.	[]		Teams	Speech	113	19.17
e6ab197a-11d2-492c-98df-c1f76196d071	0	11/7/2019 2:57	user	Hey Cortana join my meeting.		CALENDAR	connect_to_meeting	Hey Cortana join my meeting.	[]		Teams	Speech	95	19.17
481168b5-abb1-4a02-b367-d054e8abaca1	0	11/8/2019 2:25	user	What's on my calendar?	I see %NumberOfResults% events for today.	CALENDAR	find_calendar_entry	What&apos;s on my calendar?	[]		Teams	Speech	89	19.17
509eaec4-4fb6-4941-9058-304b0589547c	0	11/13/2019 8:03	user	Hey Cortana what can you do.	Here's how I can help.	COMMON	help	Hey Cortana what can you do.	[]		Teams	Speech	89	19.17
2f4f6452-b51a-45f1-a8f2-b6adfc9db90a	0	11/21/2019 18:30	user	When is my next meeting?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]		Teams	Speech	87	19.17
bf2d4fde-91d4-4ab1-997e-20cf26ef4ed5	0	11/21/2019 17:21	user	Hey Cortana what meetings do I have today.		CALENDAR	find_calendar_entry	Hey Cortana what meetings do I have <start_date>today</start_date>.	[]		Teams	Speech	85	19.17
40ce9dea-2114-46fb-921c-957ee907d7d8	0	11/27/2019 5:06	user	Call him.	Calling %ContactName%...	COMMUNICATION	make_call	Call him.	[]		Teams	Speech	85	19.17
d6387ade-ca41-44fd-8bcc-144586466c14	0	11/21/2019 7:23	user	Call.	Who would you like to call?	COMMUNICATION	make_call	Call.	[]		Teams	Speech	83	19.17
4d03f536-c73b-4d32-a7b6-a8db47720b27	0	11/22/2019 16:19	user	Hey Cortana present the deck.	Sorry, try back in a few.Which presentation?	INMEETING	start_presenting	Hey Cortana present the deck.	[]		Teams	Speech	81	19.17
eae6a2e4-f985-434c-b506-d657af988d3f	0	11/11/2019 10:50	user	What do I have today?		CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]		Teams	Speech	76	19.17
d8400edd-9e2c-40c1-9f98-e2d5c885c24e	0	11/7/2019 6:51	user	Share PDP file to Paul Liu.	I shared it in your chat.	FILES	file_share	Share <file_keyword>PDP</file_keyword> file to <to_contact_name>Paul Liu</to_contact_name>.	[]		Teams	Speech	72	19.17
67015192-abfd-4582-98d2-307c3a44292c	0	11/1/2019 2:58	user	Who is Jim?	Jim Xu, PRINCIPAL SW ENGINEERING LEAD in Cortana PM_Suzhou, reports to Haoyong Zhang. Try saying, call him or message him.	PEOPLE	search_people_by_name	Who is <contact_name>Jim</contact_name>?	[]		Teams	Speech	72	19.17
e3f90090-ffeb-492d-bccf-e58f62e02ec7	0	11/12/2019 11:55	user	Cortana.		NOTSURE	notsure_other	Cortana.	[]		Teams	Speech	70	19.17
21b2fa78-9780-4548-a279-e019c85d7a74	0	11/11/2019 6:02	user	Hey Cortana join my next meeting.		CALENDAR	connect_to_meeting	Hey Cortana join my <start_time>next</start_time> meeting.	[]		Teams	Speech	62	19.17
64e7610f-540a-4f4d-b982-78d6383f5dea	0	11/27/2019 7:00	user	Hey Cortana send a message.	Who's the message going to?	COMMUNICATION	send_text	Hey Cortana send a message.	[]		Teams	Speech	55	19.17
cabebee3-9d8d-4079-acdc-879f0bd78e4c	0	11/6/2019 23:42	user	Hey Cortana what's on my calendar.		CALENDAR	find_calendar_entry	Hey Cortana what&apos;s on my calendar.	[]		Teams	Speech	53	19.17
118aeb7e-d0c9-486c-ad23-77893b882aa8	0	11/7/2019 1:44	user	Send a message to rose.	Which one do you want to message?	COMMUNICATION	send_text	Send a message to <contact_name>rose</contact_name>.	[]		Teams	Speech	52	19.17
236ffb8e-81a9-4320-80f7-76a78529cf7a	0	11/13/2019 6:55	user	Hey Cortana send a message to Rose.		COMMUNICATION	send_text	Hey Cortana send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	50	19.17
878e038f-779b-4da2-9d5d-00e686a3be2e	0	11/7/2019 22:47	user	Hey Cortana end presentation.	I'll close the presentation.	INMEETING	stop_presenting	Hey Cortana end presentation.	[]		Teams	Speech	49	19.17
2fef72e8-7ecf-4cb6-b95d-9f8ccba5f3cf	0	11/11/2019 9:38	user	Send a message to Paul.	What's your message?	COMMUNICATION	send_text	Send a message to <contact_name>Paul</contact_name>.	[]		Teams	Speech	48	19.17
381ea651-ce71-47c4-9908-7594ce79829e	0	11/6/2019 8:25	user	What meetings do I have today?	Who's the message going to?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]		Teams	Speech	47	19.17
58b94390-3317-4929-95b6-547e19809f08	0	11/11/2019 13:47	user	Message him.	What's your message?	COMMUNICATION	send_text	Message him.	[]		Teams	Speech	44	19.17
e47b4a06-43d2-4061-8584-83882864d8f1	0	11/6/2019 0:41	user	Make a call.	Who would you like to call?	COMMUNICATION	make_call	Make a call.	[]		Teams	Speech	43	19.17
9a6652ce-01d7-445b-9ee6-157e2a7a6770	0	11/26/2019 3:47	user	Who is Kaiqi?	Sorry, try back in a few.	PEOPLE	search_people_by_name	Who is <contact_name>Kaiqi</contact_name>?	[]		Teams	Speech	42	19.17
d8e574ba-70c7-4d4f-8eb7-46f6b54fccff	0	11/7/2019 7:51	user	Send a message to Rose.	What's your message?	COMMUNICATION	send_text	Send a message to <contact_name>Rose</contact_name>.	[]		Teams	Speech	40	19.17
679ffb99-5b9e-4aa9-ac5c-9ab7ee699298	0	11/8/2019 5:53	user	Who is Daniel?	I have found 8 Daniel's in your contacts. Which one do you want to see?	PEOPLE	search_people_by_name	Who is <contact_name>Daniel</contact_name>?	[]		Teams	Speech	40	19.17
bcb92f34-7c7d-4a28-a6f0-f86cb7bff81d	0	11/28/2019 6:16	user	Hey Cortana next slide.		INMEETING	next_slide	Hey Cortana next slide.	[]		Teams	Speech	39	19.17
f14c135f-e8f7-4a70-81ff-c8850b9f6fe0	0	11/12/2019 19:16	user	Join the meeting.	Joining your %EntityTime(1)%...	CALENDAR	connect_to_meeting	Join the meeting.	[]		Teams	Speech	38	19.17
9782f288-25ac-4800-a736-91b1575099b9	0	11/18/2019 7:02	user	Who is Dexter?	Dexter Qu, PRINCIPAL PROGRAM MANAGER in SQI and Cortana ENG BJ 1107, reports to Donald Huo. Try saying, call him or message him.	PEOPLE	search_people_by_name	Who is <contact_name>Dexter</contact_name>?	[]		Teams	Speech	37	19.17
67882c1d-268e-4433-93d4-2e9762d98ef5	0	11/19/2019 6:29	user	Call platform test.		COMMUNICATION	make_call	Call <contact_name>platform test</contact_name>.	[]		Teams	Speech	36	19.17
c726708f-69d0-4c80-bf20-e627f92b8114	0	11/5/2019 1:39	user	Set my status to busy.	I've set your status to 'Busy'.	TEAMSACTION	teamsuser_setstatus	Set my status to <teamsuser_status>busy</teamsuser_status>.	[]		Teams	Speech	36	19.17
4bdc4891-14f5-41f1-b0a9-8a3759fdb4a4	0	11/15/2019 9:45	user	Search for Cortana.	I'll look up '%SearchString%'.	TEAMSACTION	teamspace_search	Search for <teamspace_keyword>Cortana</teamspace_keyword>.	[]		Teams	Speech	35	19.17
9973d377-5a49-43bb-b991-3e263199efe2	0	11/29/2019 7:55	user	Show my calendar.	Here's your schedule for today.	CALENDAR	navigate_calendar	Show my calendar.	[]		Teams	Speech	34	19.17
ccbe48a8-2f23-4647-b85c-d993ef55cc93	0	11/22/2019 6:08	user	Hey Cortana end the call.	I'll end the call.	COMMUNICATION	end_call	Hey Cortana end the call.	[]		Teams	Speech	34	19.17
046a5492-c685-47b5-bcb7-7b38fc647111	0	11/29/2019 2:34	user	Go to settings.	Here's the settings page.	NOTSURE	notsure_other	Go to settings.	[]		Teams	Speech	33	19.17
4c690590-7d8d-40a9-bf21-3a7b56e95b83	0	11/28/2019 9:16	user	Send feedback.	Here's where you can write your feedback.	NOTSURE	other_domain	Send feedback.	[]		Teams	Speech	33	19.17
fefb887e-74a3-4df1-b95c-37966cd74312	0	11/6/2019 7:01	user	Hey Cortana make a call.	Who do you want to call?	COMMUNICATION	make_call	Hey Cortana make a call.	[]		Teams	Speech	32	19.17
cfefe3d5-310e-4241-8af2-2a4e689967f2	0	11/7/2019 6:53	user	Call sales test.	Which one would you like to call?	COMMUNICATION	make_call	Call <contact_name>sales test</contact_name>.	[]		Teams	Speech	32	19.17
9b88dbf9-7f0e-4474-a606-4c5d252d0caf	0	11/28/2019 9:18	user	Go to leo's activity.	Here is %PersonName%'s activity.	TEAMSACTION	teamsuser_showactivity	Go to <contact_name>leo</contact_name>&apos;s activity.	[]		Teams	Speech	31	19.17
7792f1ae-3a3c-437b-9ff2-eaf33323d064	0	11/12/2019 10:27	user	Read messages.	You have 1 new messages.Sorry, it looks like something went wrong.	COMMUNICATION	query_message	Read messages.	[]		Teams	Speech	31	19.17
8de1c9ea-a9dd-445e-8950-8b2e856f2cd4	0	11/21/2019 13:18	user	Hey Cortana when is my next meeting.		CALENDAR	find_calendar_when	Hey Cortana when is my <start_time>next</start_time> meeting.	[]		Teams	Speech	31	19.17
96b67eb6-2373-4488-85c2-2fec85597c1d	0	11/12/2019 6:37	user	Hey Cortana hold the call.	The call's on hold.	COMMUNICATION	hold	Hey Cortana hold the call.	[]		Teams	Speech	31	19.17
115b6258-f9bc-42f3-81a8-046f99489f9b	0	11/11/2019 7:11	user	Hey Cortana resume the call.	You're back on the call.	COMMUNICATION	resume	Hey Cortana resume the call.	[]		Teams	Speech	30	19.17
655348c6-4e8d-4d9e-a627-b892bb661c2d	0	11/1/2019 6:05	user	Hey Cortana help.	Here's how I can help.	COMMON	help	Hey Cortana help.	[]		Teams	Speech	29	19.17
2c235f4b-cef5-4151-b0c0-38275dc77ab6	0	11/11/2019 4:44	user	Hey Cortana navigate to calendar.	Here's your schedule for today.	CALENDAR	navigate_calendar	Hey Cortana navigate to calendar.	[]		Teams	Speech	29	19.17
b811ed02-573c-4552-8d6b-51db1e11a032	0	11/12/2019 6:28	user	Hey Cortana end the meeting.	I'll end the meeting.	CALENDAR	disconnect_from_meeting	Hey Cortana end the meeting.	[]		Teams	Speech	29	19.17
9cf009ae-07fd-4aa7-83ad-1d4b6f137313	0	11/4/2019 9:53	user	Who is Paul?	I'm sorry, I don't know the answer to that one yet, but I'm always learning.	PEOPLE	search_people_by_name	Who is <contact_name>Paul</contact_name>?	[]		Teams	Speech	29	19.17
09a49e75-1c63-40a3-a364-98cba4c15c6c	0	11/28/2019 2:34	user	Send a message to him.	What's your message?	COMMUNICATION	send_text	Send a message to him.	[]		Teams	Speech	28	19.17
2eddf74f-a145-4ee5-a07a-f122e6d4613a	0	11/5/2019 8:29	user	Share Cortana file to this meeting.	Share which file?	FILES	file_share	Share <file_keyword>Cortana</file_keyword> file to <sharetarget_name>this</sharetarget_name> <sharetarget_type>meeting</sharetarget_type>.	[]		Teams	Speech	27	19.17
eabc0398-b3c5-41d6-9877-32baa45bebe0	0	11/25/2019 6:32	user	Next meeting.		CALENDAR	find_calendar_entry	<start_time>Next</start_time> meeting.	[]		Teams	Speech	26	19.17
56a27dde-0669-48a3-bbff-7a33b87f1fb4	0	11/1/2019 3:26	user	Show me my at mentions.	Here's where mentions of you would go.	TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]		Teams	Speech	26	19.17
8d10d436-cebb-4432-bfde-b93b3123da8b	0	11/25/2019 6:01	user	Hey Cortana go to settings.	Here's the settings page.	NOTSURE	other_domain	Hey Cortana go to settings.	[]		Teams	Speech	26	19.17
cc78d674-ea55-4754-b24c-50e3980ac030	0	11/13/2019 1:01	user	Hey Cortana end meeting.	I'll end the meeting.	CALENDAR	disconnect_from_meeting	Hey Cortana end meeting.	[]		Teams	Speech	26	19.17
b5d01c9f-d712-4b1d-9352-aa855348cc00	0	11/14/2019 6:52	user	Open files.	What file would you like to open?	FILES	file_open	Open files.	[]		Teams	Speech	26	19.17
7178d491-cc8a-4dee-8b71-46d656d8572d	0	11/12/2019 3:06	user	Go to my activity.	Here's your recent activity.	TEAMSACTION	teamsuser_showactivity	Go to my activity.	[]		Teams	Speech	24	19.17
5cc6dd9b-91b7-45d5-95f8-03bcf8bcee0f	0	11/4/2019 8:00	user	Show me my activity.	Here's your recent activity.	TEAMSACTION	teamsuser_showactivity	Show me my activity.	[]		Teams	Speech	24	19.17
de348f76-ffaf-4a61-8597-79d49972a960	0	11/14/2019 6:42	user	Hey Cortana show my calendar.	Here's your schedule for today.	CALENDAR	navigate_calendar	Hey Cortana show my calendar.	[]		Teams	Speech	24	19.17
a3e85dde-2736-4149-b03d-120bc5fd2223	0	11/8/2019 13:46	user	Share the deck.	Which presentation?	FILES	file_share	Share the <file_type>deck</file_type>.	[]		Teams	Speech	23	19.17
