ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion	NotCallingLU	SelectionIgnore
0000eb01-16b0-4d46-9206-442c0837f5d1	0	4/2/2020 23:39	user	Search for chat messages.	I'm sorry, but I can't help with that.	COMMUNICATION	query_message	Search for chat messages.	[]		Teams	Speech	1	1.13		
0002be6f-0161-4245-811a-eb7cddcde1e3	0	4/30/2020 21:40	user	Tell everyone on my upcoming meeting that messages is not getting delivered.	Alright, Message everyone... on which meeting?	COMMUNICATION	send_text_meeting	Tell everyone on my <order_ref>upcoming</order_ref> meeting that <message>messages is not getting delivered</message>.	[]		Teams	Speech	1	1.13		
0003e1ab-80d4-40d0-90c2-7fc8681af0e2	0	4/23/2020 21:54	user	Tell Maya that it's raining outside.	Which one do you wanna message?	COMMUNICATION	send_text	Tell <contact_name>Maya</contact_name> that <message>it's raining outside</message>.	[]		Teams	Speech	2	1.13		
00093ded-217e-454d-8bc5-8354ce7d0a1f	0	4/27/2020 4:38	user	Nice.	Sorry, I'm not able to help with this one.	NOTSURE	other_domain	Nice.	[]		Teams	Speech	2	1.13		
000a3d4a-0962-49af-810a-3d9c43fd0bc1	0	4/1/2020 16:12	user	Tell me a joke.	I'm sorry, but I can't help with that.	NOTSURE	other_domain	Tell me a joke.	[]		Teams	Speech	60	1.13		
000c7379-8246-4bb4-858a-f36e0c857cc9	0	4/27/2020 12:22	user	Find time with Vanshika Bhatia.	I'm sorry, but I can't help with that.	CALENDAR	check_availability	Find time with <contact_name>Vanshika Bhatia</contact_name>.	[]		Teams	Speech	1	1.13		
000f146c-3303-437a-b70e-83e27da91acd	0	4/7/2020 2:34	user	Share my recent files to the meeting.	I'm sorry, but I can't help with that.	FILES	file_share	Share <contact_name>my</contact_name> <file_recency>recent</file_recency> files to the <sharetarget_type>meeting</sharetarget_type>.	[]		Teams	Speech	1	1.13		
00180dd3-d72f-4766-847b-e4d661aa73a8	0	4/21/2020 20:25	user	Hey Cortana transfer the call to 7347090260.	Sorry, you can't transfer this call.	COMMUNICATION	transfer	Hey Cortana transfer the call to <phone_number>7347090260</phone_number>.	[]		Teams	Speech	1	1.13		
001e2122-ea0d-4e21-af1f-f803d6cafabe	0	4/7/2020 0:25	user	Open Ana's organization.	. 	TEAMSACTION	teamsuser_checkorg	Open <contact_name>Ana</contact_name>'s organization.	[]		Teams	Speech	1	1.13		
00253c21-2107-499c-ad2b-a669428a0832	0	4/28/2020 7:29	user	Show me my feed.	. 	TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>feed</teamsuser_activitytype>.	[]		Teams	Speech	1	1.13		
002d92c1-846d-443e-a402-57946192f242	0	4/1/2020 15:07	user	My next meeting.		CALENDAR	find_calendar_entry	My <start_time>next</start_time> meeting.	[]		Teams	Speech	5	1.13		
002d92c1-846d-443e-a402-57946192f242	1	4/1/2020 15:07	user_other		Next up, tomorrow, at 5:00 AM, Cortana 1P Skill Development Office Hours (Bellevue)				[]		Teams	Speech	5	1.13		
002dcc78-703e-4c4d-b731-3f71a97beb82	0	4/27/2020 1:33	user	Send a message to Tessa con.	Which one do you wanna message?	COMMUNICATION	send_text	Send a message to <contact_name>Tessa con</contact_name>.	[]		Teams	Speech	1	1.13		
002e66ce-c5c5-439a-8027-9bb5b9308c44	0	4/14/2020 6:42	user	Cancel my next meeting.		CALENDAR	delete_calendar_entry	Cancel my <start_time>next</start_time> meeting.	[]		Teams	Speech	1	1.13		
002e66ce-c5c5-439a-8027-9bb5b9308c44	1	4/14/2020 6:42	user_other		OK.				[]		Teams	Speech	1	1.13		
002e66ce-c5c5-439a-8027-9bb5b9308c44	2	4/14/2020 6:42	user_other		Which one of your events should I remove?				[]		Teams	Speech	1	1.13		
002e66ce-c5c5-439a-8027-9bb5b9308c44	3	4/14/2020 6:42	user_other		Which event did you want to remove?				[]		Teams	Speech	1	1.13		
002e66ce-c5c5-439a-8027-9bb5b9308c44	4	4/14/2020 6:42	user_other		Alright, I declined that.				[]		Teams	Speech	1	1.13		
004805fa-c68c-4ca2-a6e6-50e2443482d3	0	4/9/2020 3:26	user	Join my next meeting.		CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]		Teams	Speech	67	1.13		
004805fa-c68c-4ca2-a6e6-50e2443482d3	1	4/9/2020 3:26	user_other		Alright.				[]		Teams	Speech	67	1.13		
004805fa-c68c-4ca2-a6e6-50e2443482d3	2	4/9/2020 3:26	user_other		Joining your 11:30 AM. 				[]		Teams	Speech	67	1.13		
004d3751-0bf8-4263-8ccf-c6a8ce77b985	0	4/11/2020 22:26	user	What do I have to do next?		CALENDAR	find_calendar_entry	What do I have to do <start_time>next</start_time>?	[]		Teams	Speech	1	1.13		
004d3751-0bf8-4263-8ccf-c6a8ce77b985	1	4/11/2020 22:26	user_other		OK.				[]		Teams	Speech	1	1.13		
004d3751-0bf8-4263-8ccf-c6a8ce77b985	2	4/11/2020 22:26	user_other		Next up, on Monday, at 8:00 AM, Focus Time				[]		Teams	Speech	1	1.13		
004df7d8-660d-4dbf-bc97-07c6938b6acc	0	4/2/2020 5:06	user	When is my next meeting with Nick Kibre and Partha Parthasarathy?		CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Nick Kibre</contact_name> and <contact_name>Partha Parthasarathy</contact_name>?	[]		Teams	Speech	1	1.13		
004df7d8-660d-4dbf-bc97-07c6938b6acc	1	4/2/2020 5:06	user_other		Next up with Partha Parthasarathy (LIT), on Friday, at 10:00 AM, LM Team Weekly Meeting				[]		Teams	Speech	1	1.13		
