ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext		
uwp-suggested-25	0		user	What's my next meeting?	CALENDAR	find_calendar_entry	What's my <start_time>next</start_time> meeting?	[]			
uwp-suggested-26	0		user	What's my day look like?	CALENDAR	find_calendar_entry	What's my day look like?	[]			
uwp-suggested-27	0		user	What's my day like tomorrow?	CALENDAR	find_calendar_entry	What's my day like <start_date>tomorrow</start_date>?	[]			
uwp-suggested-28	0		user	What do I have today?	CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]			
uwp-suggested-29	0		user	What do I have next?	CALENDAR	find_calendar_entry	What do I have <start_time>next</start_time>?	[]			
uwp-suggested-30	0		user	What's my first meeting tomorrow?	CALENDAR	find_calendar_entry	What's my <order_ref>first</order_ref> meeting <start_date>tomorrow</start_date>?	[]			
uwp-suggested-31	0		user	Where's my next meeting?	CALENDAR	find_calendar_where	Where's my <start_time>next</start_time> meeting?	[]			
uwp-suggested-32	0		user	What do I have tomorrow afternoon?	CALENDAR	find_calendar_entry	What do I have <start_date>tomorrow</start_date> <start_time>afternoon</start_time>?	[]			
uwp-suggested-33	0		user	What do I have on Monday afternoon?	CALENDAR	find_calendar_entry	What do I have on <start_date>Monday</start_date> <start_time>afternoon</start_time>?	[]			
uwp-suggested-34	0		user	Am I free Friday morning?	CALENDAR	check_availability	Am I free <start_date>Friday</start_date> <start_time>morning</start_time>?	[]			
uwp-suggested-35	0		user	Cancel my 4 PM meeting	CALENDAR	delete_calendar_entry	Cancel my <start_time>4 PM</start_time> meeting	[]			
uwp-suggested-36	0		user	Cancel my next meeting	CALENDAR	delete_calendar_entry	Cancel my <start_time>next</start_time> meeting	[]			
uwp-suggested-37	0		user	Cancel my 10:30 AM meeting	CALENDAR	delete_calendar_entry	Cancel my <start_time>10:30 AM</start_time> meeting	[]			
uwp-suggested-38	0		user	Cancel Team meeting	CALENDAR	delete_calendar_entry	Cancel <title>Team</title> meeting	[]			
uwp-suggested-39	0		user	Cancel my 11:30 meeting	CALENDAR	delete_calendar_entry	Cancel my <start_time>11:30</start_time> meeting	[]			
uwp-suggested-40	0		user	Cancel my 5 o'clock meeting	CALENDAR	delete_calendar_entry	Cancel my <start_time>5</start_time> o'clock meeting	[]			
uwp-suggested-41	0		user	Cancel my 2 PM	CALENDAR	delete_calendar_entry	Cancel my <start_time>2 PM</start_time>	[]			
uwp-suggested-42	0		user	Cancel the meeting with my manager	CALENDAR	delete_calendar_entry	Cancel the meeting with my manager	[]			
uwp-suggested-43	0		user	Add dentist to my CALENDAR	CALENDAR	create_calendar_entry	Add <title>dentist</title> to my CALENDAR	[]			
uwp-suggested-44	0		user	Add training for Friday at 5 PM	CALENDAR	create_calendar_entry	Add <title>training</title> for <start_date>Friday</start_date> at <start_time>5 PM</start_time>	[]			
uwp-suggested-45	0		user	Meeting tomorrow from 8 AM to 11 AM	CALENDAR	find_calendar_entry	Meeting <start_date>tomorrow</start_date> from <start_time>8 AM</start_time> to <end_time>11 AM</end_time>	[]			
uwp-suggested-46	0		user	Add an appointment for tomorrow	CALENDAR	create_calendar_entry	Add an appointment for <start_date>tomorrow</start_date>	[]			
uwp-suggested-47	0		user	Create an appointment for Monday	CALENDAR	create_calendar_entry	Create an appointment for <start_date>Monday</start_date>	[]			
uwp-bvt-1	0		user	Hey Cortana, Add an event to my calendar.	CALENDAR	create_calendar_entry	Hey Cortana, Add an event to my calendar.	[]			
uwp-bvt-2	0		user	Hey Cortana, Add sync-up to my calendar for Monday at 2pm	CALENDAR	create_calendar_entry	Hey Cortana, Add <title>sync-up</title> to my calendar for <start_date>Monday</start_date> at <start_time>2pm</start_time>	[]			
uwp-bvt-3	0		user	Hey Cortana, What do I have between 8 and 10 on Friday?	CALENDAR	find_calendar_entry	Hey Cortana, What do I have between <start_time>8</start_time> and <end_time>10</end_time> on <start_date>Friday</start_date>?	[]			
uwp-bvt-4	0		user	Hey Cortana, How does my weekend looks like?	CALENDAR	find_calendar_entry	Hey Cortana, How does my <start_date>weekend</start_date> looks like?	[]			
uwp-bvt-5	0		user	Hey Cortana, Cancel my last meeting on Thursday?	CALENDAR	delete_calendar_entry	Hey Cortana, Cancel my <order_ref>last</order_ref> meeting on <start_date>Thursday</start_date>?	[]			
uwp-bvt-6	0		user	Cancel my dentist appointment.	CALENDAR	delete_calendar_entry	Cancel my <title>dentist</title> appointment.	[]			
uwp-bvt-7	0		user	Hey Cortana, Setup a design review meeting with David from 2pm to 3pm?	CALENDAR	create_calendar_entry	Hey Cortana, Setup a <title>design review</title> meeting with <contact_name>David</contact_name> from <start_time>2pm</start_time> to <end_time>3pm</end_time>?	[]			
uwp-bvt-8	0		user	Hey Cortana, When is my next meeting with James	CALENDAR	find_calendar_when	Hey Cortana, When is my <start_time>next</start_time> meeting with <contact_name>James</contact_name>	[]			
uwp-bvt-9	0		user	When does my meeting start with David	CALENDAR	find_calendar_when	When does my meeting start with <contact_name>David</contact_name>	[]			
uwp-bvt-10	0		user	Find design review meeting with David tomorrow	CALENDAR	find_calendar_entry	Find <title>design review</title> meeting with <contact_name>David</contact_name> <start_date>tomorrow</start_date>	[]			
uwp-bvt-11	0		user	Hey Cortana, Where is my sprint planning meeting?	CALENDAR	find_calendar_where	Hey Cortana, Where is my <title>sprint planning</title> meeting?	[]			
uwp-bvt-12	0		user	Hey Cortana, When is my doctor appointment?	CALENDAR	find_calendar_when	Hey Cortana, When is my <title>doctor</title> appointment?	[]			
uwp-bvt-13	0		user	Hey Cortana, Cancel my meeting with David tomorrow?	CALENDAR	delete_calendar_entry	Hey Cortana, Cancel my meeting with <contact_name>David</contact_name> <start_date>tomorrow</start_date>?	[]			
uwp-bvt-14	0		user	Hey Cortana, Delete the sprint planning meeting for Wednesday?	CALENDAR	delete_calendar_entry	Hey Cortana, Delete the <title>sprint planning</title> meeting for <start_date>Wednesday</start_date>?	[]			
uwp-bvt-15	0		user	Delete my 3pm meeting?	CALENDAR	delete_calendar_entry	Delete my <start_time>3pm</start_time> meeting?	[]			
uwp-bvt-16	0		user	Hey Cortana, What do I have tomorrow in my personal calendar? 	CALENDAR	find_calendar_entry	Hey Cortana, What do I have <start_date>tomorrow</start_date> in my <destination_calendar>personal calendar?</destination_calendar> 	[]			
uwp-bvt-17	0		user	What's on my calendar for today?	CALENDAR	find_calendar_entry	What's on my calendar for <start_date>today</start_date>?	[]			
uwp-bvt-18	0		user	How does my day look today?	CALENDAR	find_calendar_entry	How does my day look <start_date>today</start_date>?	[]			
uwp-bvt-19	0		user	Do I have any meetings for today?	CALENDAR	find_calendar_entry	Do I have any meetings for <start_date>today</start_date>?	[]			
uwp-bvt-20	0		user	How does my schedule look today?	CALENDAR	find_calendar_entry	How does my schedule look <start_date>today</start_date>?	[]			
uwp-bvt-21	0		user	What meetings do I have today?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]			
uwp-bvt-22	0		user	What do I have this morning?	CALENDAR	find_calendar_entry	What do I have <start_time>this morning</start_time>?	[]			
