ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency	GuidelineVersion
b2891233-afa3-52bd-9cfe-3af0627ffc03	0		user	Emails from Malik on 22nd of November.		EMAILSEARCH	search_email	<message_type>Emails</message_type> from <contact_name_from>Malik</contact_name_from> on <start_date>22nd of November</start_date>.	[]				1	1.1
a34df6a3-533d-5aea-af0f-b4e6205ac841	0		user	Emails contains China VPN that sent from January to February.		EMAILSEARCH	search_email	<message_type>Emails</message_type> contains <keyword>China VPN</keyword> that sent from <start_date>January</start_date> to <end_date>February</end_date>.	[]				1	1.1
4258632b-2d55-59f3-a520-d9ad25a9017e	0		user	What is Jose's email address?		PEOPLE	search_people_attribute	What is <contact_name>Jose</contact_name>'s <people_attribute>email address</people_attribute>?	[]				6	1.1
cf1fe388-1384-5320-9960-89874b0fe696	0		user	Phone Shwetambari Mokadam.		PEOPLE	search_people_attribute	<people_attribute>Phone</people_attribute> <contact_name>Shwetambari Mokadam</contact_name>.	[]				9	1.1
4046c776-0f82-5617-8eef-f5e54f9db887	0		user	My team's phone number.		PEOPLE	search_people_attribute	My team's <people_attribute>phone number</people_attribute>.	[]				1	1.1
dcefa5cb-df92-5328-8de4-322bc2fdb8ab	0		user	Emails from job.		EMAILSEARCH	search_email	<message_type>Emails</message_type> from <contact_name_from>job</contact_name_from>.	[]				1	1.1
4184bdc5-35cb-500f-9b3e-0faaec387f09	0		user	I didn't know this existed.		NOTSURE	notsure_other	I didn't know this existed.	[]				1	1.1
bb736602-91c0-5867-b51b-683cfa697f0f	0		user	Email Craig I'm running late.		EMAILSEARCH	search_email	<message_type>Email</message_type> <contact_name>Craig</contact_name> <keyword>I&apos;m running late</keyword>.	[]				2	1.1
2ed55940-bdb7-5875-aff4-252ac1f4dfd9	0		user	What emails do I have from Zachary James mentioning the word dolphin?		EMAILSEARCH	search_email	What <message_type>emails</message_type> do I have from <contact_name_from>Zachary James</contact_name_from> mentioning the word <keyword>dolphin</keyword>?	[]				1	1.1
baa50bd0-351c-583e-bec7-513908a4c52c	0		user	Next meeting.		CALENDAR	find_calendar_entry	<start_time>Next</start_time> meeting.	[]				7	1.1
