ConversationId	TokenizedJudgedIntentId	TokenizedMessageText	TokenizedMessageTextId	TokenizedJudgedConstraintsId
Teams-Feb-79	125	[CLS] un ##- ##fa ##vor ##ite the voice skills team [SEP]	101 4895 29624 7011 14550 4221 1996 2376 4813 2136 102	0 2 2 2 2 2 2 173 174 2 0
Teams-May-12	125	[CLS] un ##- ##fa ##vor ##ite the voice skills channel [SEP]	101 4895 29624 7011 14550 4221 1996 2376 4813 3149 102	0 2 2 2 2 2 2 165 166 2 0
Teams-May-65	125	[CLS] un ##- ##fa ##vor ##ite this team [SEP]	101 4895 29624 7011 14550 4221 2023 2136 102	0 2 2 2 2 2 173 2 0
Teams-May-64	125	[CLS] un ##- ##fa ##vor ##ite co ##rta ##na team [SEP]	101 4895 29624 7011 14550 4221 2522 13320 2532 2136 102	0 2 2 2 2 2 173 174 174 2 0
Teams-DSAT-01312020-1	36	[CLS] send my voice 101 file to my 2 ##: ##00 o ##' ##cl ##ock meeting [SEP]	101 4604 2026 2376 7886 5371 2000 2026 1016 29627 8889 1051 29618 20464 7432 3116 102	0 2 17 55 56 2 2 185 75 76 76 2 2 2 2 139 0
FrisBEE_Partners\FrisBEE\TestModules\ConfigFiles\TestCases\CortanaSdkCalendarProdTestSuite2.xml.RangeQuery_Q	37	[CLS] what do i have from 8 am to 10 am tomorrow in my outlook calendar ? [SEP]	101 2054 2079 1045 2031 2013 1022 2572 2000 2184 2572 4826 1999 2026 17680 8094 1029 102	0 2 2 2 2 2 157 158 2 41 42 155 2 2 33 2 2 0
DSAT_Join+my+2%3A30+compliance+training+meeting	21	[CLS] join my 2 ##: ##30 compliance training meeting [SEP]	101 3693 2026 1016 29627 14142 12646 2731 3116 102	0 2 2 157 158 158 183 184 2 0
MSB_Upcoming1:1withJoe	37	[CLS] upcoming 1 ##: ##1 with joe [SEP]	101 9046 1015 29627 2487 2007 3533 102	0 157 183 184 184 2 17 0
MSB_Mymonthlyall-hansevents	37	[CLS] my monthly all ##- ##hand ##s events [SEP]	101 2026 7058 2035 29624 11774 2015 2824 102	0 2 183 184 184 184 184 2 0
BUG1798544_3	23	[CLS] set up a meeting at 8 ##: ##30 tomorrow at 1775 w saint mary ##s [SEP]	101 2275 2039 1037 3116 2012 1022 29627 14142 4826 2012 14276 1059 3002 2984 2015 102	0 2 2 2 2 2 157 158 158 155 2 3 4 4 4 4 0
TASK1834429_18	66	[CLS] navigate to my calendar on 4 ##/ ##10 ##/ ##20 ##18 [SEP]	101 22149 2000 2026 8094 2006 1018 29626 10790 29626 11387 15136 102	0 2 2 2 2 2 155 156 156 156 156 156 0
TASK1834429_20	66	[CLS] show me my calendar for 4 ##/ ##10 ##/ ##20 ##18 [SEP]	101 2265 2033 2026 8094 2005 1018 29626 10790 29626 11387 15136 102	0 2 2 2 2 2 155 156 156 156 156 156 0
UserStory2124999_0014	21	[CLS] join the 3 ##: ##30 pm [SEP]	101 3693 1996 1017 29627 14142 7610 102	0 2 2 157 158 158 158 0
Bug_2153550_001	37	[CLS] what do i have today from 6 ##: ##00 pm to 7 ##: ##00 pm ? [SEP]	101 2054 2079 1045 2031 2651 2013 1020 29627 8889 7610 2000 1021 29627 8889 7610 1029 102	0 2 2 2 2 155 2 157 158 158 158 2 41 42 42 42 2 0
Bug_2153550_002	37	[CLS] what do i have from 6 ##: ##00 pm to 9 ##: ##00 pm ? [SEP]	101 2054 2079 1045 2031 2013 1020 29627 8889 7610 2000 1023 29627 8889 7610 1029 102	0 2 2 2 2 2 157 158 158 158 2 41 42 42 42 2 0
Bug_2187494_004	21	[CLS] join the 12 o ##' ##cl ##ock [SEP]	101 3693 1996 2260 1051 29618 20464 7432 102	0 2 2 157 2 2 2 2 0
Bug_2187494_006	21	[CLS] join 12 o ##' ##cl ##ock [SEP]	101 3693 2260 1051 29618 20464 7432 102	0 2 157 2 2 2 2 0
Bug_2103732_001	37	[CLS] brian ' ##s team meeting [SEP]	101 4422 1005 2015 2136 3116 102	0 17 2 2 183 2 0
Bug_2354453_003	23	[CLS] create an appointment titled as ' ##cal ##l tony ##' for today at 6 ##: ##15 [SEP]	101 3443 2019 6098 4159 2004 1005 9289 2140 4116 29618 2005 2651 2012 1020 29627 16068 102	0 2 2 2 2 2 2 183 184 184 2 2 155 2 157 158 158 0
Bug_2737689_002	16	[CLS] find time with saga ##r to prep for team ##- ##me ##eti ##ng [SEP]	101 2424 2051 2007 12312 2099 2000 17463 2005 2136 29624 4168 20624 3070 102	0 2 2 2 17 18 2 183 184 184 184 184 184 184 0
Bug_2867087_011	37	[CLS] how many 1 ##: ##1 ##s do i have this week [SEP]	101 2129 2116 1015 29627 2487 2015 2079 1045 2031 2023 2733 102	0 2 2 183 184 184 184 2 2 2 155 156 0
Bug_2867087_019	37	[CLS] my one ##- ##on ##- ##one with sake ##th [SEP]	101 2026 2028 29624 2239 29624 5643 2007 8739 2705 102	0 2 183 184 184 184 184 2 17 18 0
Feature_2817297_008	45	[CLS] are there any pre ##- ##rea ##ds for the weekly meeting ? [SEP]	101 2024 2045 2151 3653 29624 16416 5104 2005 1996 4882 3116 1029 102	0 2 2 2 2 2 2 2 2 2 183 2 2 0
Bug_3127127_001	37	[CLS] what ' ##s on 12 ##/ ##3 ? [SEP]	101 2054 1005 2015 2006 2260 29626 2509 1029 102	0 2 2 2 2 155 156 156 2 0
20	94	[CLS] message i ##' ##m running late to 05 ##48 ##0 ##6 ##70 ##8 ##7 [SEP]	101 4471 1045 29618 2213 2770 2397 2000 5709 18139 2692 2575 19841 2620 2581 102	0 2 83 84 84 84 84 2 115 116 116 116 116 116 116 0
21	94	[CLS] message i ##' ##m running late to jack ##y [SEP]	101 4471 1045 29618 2213 2770 2397 2000 2990 2100 102	0 2 83 84 84 84 84 2 17 18 0
22	94	[CLS] message i ##' ##m running late to jack ##y jones work phone [SEP]	101 4471 1045 29618 2213 2770 2397 2000 2990 2100 3557 2147 3042 102	0 2 83 84 84 84 84 2 17 18 18 35 36 0
62	94	[CLS] text i ##' ##m running late to jack ##y jones work phone [SEP]	101 3793 1045 29618 2213 2770 2397 2000 2990 2100 3557 2147 3042 102	0 2 83 84 84 84 84 2 17 18 18 35 36 0
