ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency
Teams0afe4801-f58f-495c-a402-23b675294329	0	9/20/2019 8:24	user	Richard.	NOTSURE	notsure_not_judged	richard	[]				11
Teams20d0cc7c-4d46-476d-bce8-095d8e7644cf	0	9/25/2019 1:21	user	Cortana. I'll talk to Emma. Yeah.	NOTSURE	notsure_not_judged	cortana. i'll talk to emma. yeah	[]				1
Teams0b8b2863-d7d9-4e40-8757-78759c928f44	0	9/20/2019 20:44	user	It's a design thing. Hamburger meat. There is no entry points to these functions. This is this is this place where we put it.	NOTSURE	notsure_not_judged	it's a design thing. hamburger meat. there is no entry points to these functions. this is this is this place where we put it	[]				1
Teamsfaad578a-c6a3-4a47-bb33-5356736a0846	0	9/9/2019 6:03	user	Carlos.	NOTSURE	notsure_not_judged	carlos	[]				2
Teams2469c216-edfb-450a-9513-397d1e8f3324	0	9/5/2019 7:49	user	Hi Cortana.	NOTSURE	notsure_not_judged	hi cortana	[]				2
Teams4bb871ac-888f-403d-b12c-3b12ddd5a3f9	0	9/27/2019 12:47	user	Cortana.	NOTSURE	notsure_not_judged	cortana	[]				115
Teams13cbf3cf-1bcc-4f69-9773-42529fa646af	0	9/4/2019 19:05	user	Hey Cortana testing Galaxy S 9.	NOTSURE	notsure_not_judged	hey cortana testing galaxy s 9	[]				5
Teamsdb814de5-dd4a-4baa-a08a-ad75718b9d29	0	9/20/2019 12:54	user	Hey Cortana.	NOTSURE	notsure_not_judged	hey cortana	[]				406
Teamsba6b8c87-1390-43ac-b275-ec6d76580fec	0	9/4/2019 18:37	user	Hey Cortana. How many artists made the song power trip by J. Cole?	NOTSURE	notsure_not_judged	hey cortana. how many artists made the song power trip by j. cole	[]				2
Teams79ca3174-7dc9-46de-9089-f8196319863f	0	9/9/2019 7:03	user	Where does Daniel said?	NOTSURE	notsure_not_judged	where does daniel said	[]				1
Teams5bd7a1da-6b2e-4724-9b8c-0f33c3ce5ba6	0	9/27/2019 5:43	user	It would have so this is.	NOTSURE	notsure_not_judged	it would have so this is	[]				1
Teamsb99c6f69-c6aa-4920-8af6-ce7e54c64467	0	9/11/2019 9:03	user	Jim.	NOTSURE	notsure_not_judged	jim	[]				1
Teamsaf0eaadf-f404-466e-93f3-a59d72b8ddf5	0	9/10/2019 21:08	user	Hey Cortana AMA.	NOTSURE	notsure_not_judged	hey cortana ama	[]				1
Teams920130a7-7f60-4157-bacf-157d314588bb	0	9/19/2019 21:16	user	And also.	NOTSURE	notsure_not_judged	and also	[]				2
Teams11ee8385-21f9-4916-bb0c-b96fb172eea5	0	9/5/2019 12:04	user	Hey.	NOTSURE	notsure_not_judged	hey	[]				6
Teamsf581fa0a-1f2f-4ded-9429-ef7ee7891947	0	9/10/2019 6:30	user	Hey Cortana. Set a document to dawn.	NOTSURE	notsure_not_judged	hey cortana. set a document to dawn	[]				1
Teams94f995c6-d1e3-4245-a12a-763a1a0f6fdd	0	9/4/2019 17:44	user	Hey Cortana cancel.	NOTSURE	notsure_not_judged	hey cortana cancel	[]				109
Teamscc7e18db-040d-44e4-ac9f-71eb3ce15882	0	9/10/2019 12:10	user	Look at Tampa Sandwich TPR. She called the skill you're there that UVA.	NOTSURE	notsure_not_judged	look at tampa sandwich tpr. she called the skill you're there that uva	[]				1
Teams0914b5f4-1cbf-41cd-bad8-015f03ed6519	0	9/4/2019 5:44	user	Open Excel.	NOTSURE	notsure_not_judged	Open Excel.	[]				4
Teams249a7093-a172-4f9d-b6ff-6b3a73515616	0	9/24/2019 7:16	user	Cortana. We basically started sending um commitment.	NOTSURE	notsure_not_judged	cortana. we basically started sending um commitment	[]				1
Teams5ad17428-f5de-4543-a3af-27c68db81ba8	0	9/3/2019 17:49	user	Cortana, do you?	NOTSURE	notsure_not_judged	cortana, do you	[]				1
Teams99e2a501-73ea-4994-abe9-8194f133b2e7	0	9/3/2019 22:21	user	Dude, I just said.	NOTSURE	notsure_not_judged	dude, i just said	[]				1
Teams9db4f222-0373-4a23-b374-ae088ee07344	0	9/3/2019 12:25	user	Hey Cortana. Hey Cortana.	NOTSURE	notsure_not_judged	hey cortana. hey cortana	[]				34
Teams586dde71-cc74-46f5-b9a0-80b57f737c2b	0	9/16/2019 6:17	user	PDP file to Paul Liu.	NOTSURE	notsure_not_judged	PDP file to Paul Liu.	[]				1
Teams841b6668-4674-4bc0-ad78-d0e5c7196687	0	9/29/2019 7:18	user	Hey Cortana, who is the wings?	NOTSURE	notsure_not_judged	hey cortana, who is the wings	[]				1
Teams3281f6d0-406f-4a57-8d42-30fa21584426	0	9/2/2019 8:16	user	Hey Cortana, but I took a shower soon.	NOTSURE	notsure_not_judged	hey cortana, but i took a shower soon	[]				1
Teams1dd0a254-8e3d-448c-97a2-47478487e86c	0	9/27/2019 5:50	user	Cortana the UX.	NOTSURE	notsure_not_judged	cortana the ux	[]				1
Teams91c28a7b-31fc-4968-8d5d-c70b9c235213	0	9/9/2019 2:22	user	Hello.	NOTSURE	notsure_not_judged	hello	[]				110
Teams30efebf4-18dd-4b96-93df-9dffdd8eceaa	0	9/1/2019 5:45	user	And.	NOTSURE	notsure_not_judged	and	[]				2
Teams4643497f-94f3-486f-aa30-beb08c649804	0	9/5/2019 7:16	user	My sister now.	NOTSURE	notsure_not_judged	my sister now	[]				1
Teams8140259e-872a-42fb-8068-cd2b2382c07a	0	9/25/2019 21:02	user	Join.	NOTSURE	notsure_not_judged	join	[]				3
Teamsba88a233-39f2-4bae-8738-612781581913	0	9/4/2019 18:26	user	Hey Cortana, does Quincy Jones St just once?	NOTSURE	notsure_not_judged	hey cortana, does quincy jones st just once	[]				1
Teamsc42054a7-fca4-449c-ae93-d8a5ca87a99c	0	9/27/2019 1:36	user	I need to open an incident.	NOTSURE	notsure_not_judged	i need to open an incident	[]				6
Teams1be3dadd-2f0b-434b-bcb6-541366056d76	0	9/16/2019 20:54	user	Cortana stop it.	NOTSURE	notsure_not_judged	cortana stop it	[]				1
Teams3f99cb85-f8ca-46c5-b9e4-6cfc396149dc	0	9/3/2019 21:20	user	Hey Cortana, when does it start snowing in Jackson Hole?	NOTSURE	notsure_not_judged	hey cortana, when does it start snowing in jackson hole	[]				1
Teams57bc2a9b-5a76-4795-8e4e-e477487180d8	0	9/26/2019 6:03	user	What can you do?	NOTSURE	notsure_not_judged	what can you do	[]				42
Teamsdcf923ac-acde-407e-bcf4-32f6585b5c17	0	9/23/2019 22:28	user	Hey Cortana testing 123.	NOTSURE	notsure_not_judged	hey cortana testing 123	[]				6
Teams9439b7e7-a052-49ec-988f-e85e0180551c	0	9/4/2019 18:20	user	Hey Cortana, are you always listening?	NOTSURE	notsure_not_judged	hey cortana, are you always listening	[]				2
Teams606dc7d4-c14e-4fea-9473-15f86cc5a90b	0	9/3/2019 13:52	user	So that.	NOTSURE	notsure_not_judged	so that	[]				1
Teamscc5a090f-ecfa-4e26-a840-98ca97ead49b	0	9/20/2019 21:16	user	What's the weather today?	NOTSURE	notsure_not_judged	what's the weather today	[]				1
Teams503813a8-7562-4cf8-b2f3-b81994e462b3	0	9/17/2019 4:37	user	Test.	NOTSURE	notsure_not_judged	test	[]				3
Teamsdc2d7fe4-2a09-4ec3-90e8-9627bea51d34	0	9/4/2019 17:40	user	Hey Cortana. What was the value of the S&P 501 year ago?	NOTSURE	notsure_not_judged	hey cortana. what was the value of the s&amp;p 501 year ago	[]				3
Teamsd21ac4c9-3094-4356-8c9c-e9d94ea4257d	0	9/26/2019 0:28	user	Open HRS plus plus.	NOTSURE	notsure_not_judged	open hrs plus plus	[]				1
Teamsd7e41aae-c19d-4e4c-ac2f-619eda3adb73	0	9/3/2019 21:18	user	Hey Cortana, what year was candy rain?	NOTSURE	notsure_not_judged	hey cortana, what year was candy rain	[]				1
