ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
180297508	0		user	From Brian about Christmas plans	EMAILSEARCH	search_email	From <contact_name_from>Brian</contact_name_from> about <keyword>Christmas plans</keyword>	[]		1
179898280	0		user	last week's messages with attachments	EMAILSEARCH	search_email	<start_date>last week</start_date>'s messages with <attachment>attachments</attachment>	[]		1
179898272	0		user	Kunal about Multi-turn annotation 	EMAILSEARCH	search_email	<contact_name>Kunal</contact_name> about <keyword>Multi-turn annotation</keyword> 	[]		1
179762464	0		user	from siri	EMAILSEARCH	search_email	from <contact_name_from>siri</contact_name_from>	[]		1
179762259	0		user	performance report 2 weeks ago	EMAILSEARCH	search_email	<keyword>performance report</keyword> <start_date>2 weeks ago</start_date>	[]		1
179762632	0		user	gt in queue from Jyotsna	EMAILSEARCH	search_email	<keyword>gt in queue</keyword> from <contact_name_from>Jyotsna</contact_name_from>	[]		1
179762231	0		user	email from september 1st accuracy report	EMAILSEARCH	search_email	<message_type>email</message_type> from <start_date>september 1st</start_date> <keyword>accuracy report</keyword>	[]		1
180297616	0		user	tuesday from tina	EMAILSEARCH	search_email	<start_date>tuesday</start_date> from <contact_name_from>tina</contact_name_from>	[]		1
180297506	0		user	thanksgiving get together on Thursday	EMAILSEARCH	search_email	<keyword>thanksgiving get together</keyword> on <start_date>Thursday</start_date>	[]		1
179898154	0		user	email cced yeyi	EMAILSEARCH	search_email	<message_type>email</message_type> cced <contact_name_cc>yeyi</contact_name_cc>	[]		1
179762401	0		user	Missed Conversation yesterday abily	EMAILSEARCH	search_email	<keyword>Missed Conversation</keyword> <start_date>yesterday</start_date> <contact_name>abily</contact_name>	[]		1
180297598	0		user	emails about work this week from Harry	EMAILSEARCH	search_email	<message_type>emails</message_type> about <keyword>work</keyword> <start_date>this week</start_date> from <contact_name_from>Harry</contact_name_from>	[]		1
179898035	0		user	With attachment from Kunal	EMAILSEARCH	search_email	With <attachment>attachment</attachment> from <contact_name_from>Kunal</contact_name_from>	[]		1
179762160	0		user	email from siri with attachments	EMAILSEARCH	search_email	<message_type>email</message_type> from <contact_name_from>siri</contact_name_from> with <attachment>attachments</attachment>	[]		1
179762422	0		user	kumari jyotsna email about  Search Measurement Set	EMAILSEARCH	search_email	<contact_name>kumari jyotsna</contact_name> <message_type>email</message_type> about  <keyword>Search Measurement Set</keyword>	[]		1
180297628	0		user	attachments from Jet	EMAILSEARCH	search_email	<attachment>attachments</attachment> from <contact_name_from>Jet</contact_name_from>	[]		1
179898041	0		user	Kartik's email with attachment	EMAILSEARCH	search_email	<contact_name>Kartik</contact_name>'s email with <attachment>attachment</attachment>	[]		1
179762303	0		user	emails about mb assignment on monday	EMAILSEARCH	search_email	<message_type>emails</message_type> about <keyword>mb assignment</keyword> on <contact_name_from>monday</contact_name_from>	[]		1
179762538	0		user	Pending GT'S on 25-09-2019	EMAILSEARCH	search_email	<keyword>Pending GT'S</keyword> on <start_date>25-09-2019</start_date>	[]		1
179762135	0		user	Pending GT's on Wednesday	EMAILSEARCH	search_email	<keyword>Pending GT's</keyword> on <start_date>Wednesday</start_date>	[]		1
179762285	0		user	DC nominations required on Wednesday	EMAILSEARCH	search_email	<keyword>DC nominations required</keyword> on <start_date>Wednesday</start_date>	[]		1
179898178	0		user	replies to the meeting today at 2pm 	EMAILSEARCH	search_email	<keyword>replies to the meeting</keyword> <start_date>today</start_date> at <start_time>2pm</start_time> 	[]		1
