to basil reid notebooks attachment	FILES	to <to_contact_name> basil reid </to_contact_name> <file_type> notebooks </file_type> <attachment> attachment </attachment>	file_search
attachment from alin vacaru on Pteromys podex chondrophore	FILES	<attachment> attachment </attachment> from <contact_name> alin vacaru </contact_name> on <file_keyword> Pteromys podex chondrophore </file_keyword>	file_search
look for attachments in contrasty Ossetish topic	FILES	look for <attachment> attachments </attachment> in <file_keyword> contrasty Ossetish </file_keyword> topic	file_search
last night leasehold attachment	FILES	<time> last night </time> <file_keyword> leasehold </file_keyword> <attachment> attachment </attachment>	file_search
received from omprakash das including attachment	FILES	received from <contact_name> omprakash das </contact_name> including <attachment> attachment </attachment>	file_search
to elroy onenote attachment	FILES	to <to_contact_name> elroy </to_contact_name> <file_type> onenote </file_type> <attachment> attachment </attachment>	file_search
to ocampos attachment xls	FILES	to <to_contact_name> ocampos </to_contact_name> <attachment> attachment </attachment> <file_type> xls </file_type>	file_search
attachment james	FILES	<attachment> attachment </attachment> <file_keyword> james </file_keyword>	file_search
from weizhu chen attachment word	FILES	from <contact_name> weizhu chen </contact_name> <attachment> attachment </attachment> <file_type> word </file_type>	file_search
from sasan attachment msg	FILES	from <contact_name> sasan </contact_name> <attachment> attachment </attachment> <file_type> msg </file_type>	file_search
from voraluk with broiderer attachments	FILES	from <contact_name> voraluk </contact_name> with <file_keyword> broiderer </file_keyword> <attachment> attachments </attachment>	file_search
show me latest notebooks attachments	FILES	show me <order_ref> latest </order_ref> <file_type> notebooks </file_type> <attachment> attachments </attachment>	file_search
halbert s messages from last week with attachment	FILES	<contact_name> halbert </contact_name> s messages from <date> last week </date> with <attachment> attachment </attachment>	file_search
attachments from july 2019	FILES	<attachment> attachments </attachment> from <date> july 2019 </date>	file_search
sending some attachment to andy rushing	FILES	sending some <attachment> attachment </attachment> to <to_contact_name> andy rushing </to_contact_name>	file_search
to paul hilde with attachment anacardiaceous aeronaut	FILES	to <to_contact_name> paul hilde </to_contact_name> with <attachment> attachment </attachment> <file_keyword> anacardiaceous aeronaut </file_keyword>	file_search
attachment from brian macdonald 23 dogs	FILES	<attachment> attachment </attachment> from <contact_name> brian macdonald </contact_name> <file_keyword> 23 dogs </file_keyword>	file_search
attachments april 1st to april 2nd	FILES	<attachment> attachments </attachment> <date> april 1st </date> to <date> april 2nd </date>	file_search
attachment from yechiel bar dov	FILES	<attachment> attachment </attachment> from <contact_name> yechiel bar dov </contact_name>	file_search
deployment using cdpx was included on attachment	FILES	<file_keyword> deployment using cdpx </file_keyword> was included on <attachment> attachment </attachment>	file_search
malcontently attachments from may to june	FILES	<file_keyword> malcontently </file_keyword> <attachment> attachments </attachment> from <date> may </date> to <date> june </date>	file_search
from doug lora attachment vdw	FILES	from <contact_name> doug lora </contact_name> <attachment> attachment </attachment> <file_type> vdw </file_type>	file_search
noon idiothermy vsdm attachment	FILES	<file_keyword> noon idiothermy </file_keyword> <file_type> vsdm </file_type> <attachment> attachment </attachment>	file_search
may lineamental substantiation peckly from dannie jiang with attachment	FILES	<date> may </date> <file_keyword> lineamental substantiation peckly </file_keyword> from <contact_name> dannie jiang </contact_name> with <attachment> attachment </attachment>	file_search
from topher with attachment last march	FILES	from <contact_name> topher </contact_name> with <attachment> attachment </attachment> <date> last march </date>	file_search
attachment from may 20 to june 28 about griefful mortgage Cid rubbler	FILES	<attachment> attachment </attachment> from <date> may 20 </date> to <date> june 28 </date> about <file_keyword> griefful mortgage Cid rubbler </file_keyword>	file_search
message from saar scheinkman about barbarical repunishment pinhead with attachment	FILES	message from <contact_name> saar scheinkman </contact_name> about <file_keyword> barbarical repunishment pinhead </file_keyword> with <attachment> attachment </attachment>	file_search
notebook attachment myrica salability overindulgent bellypiece	FILES	<file_type> notebook </file_type> <attachment> attachment </attachment> <file_keyword> myrica salability overindulgent bellypiece </file_keyword>	file_search
search for message from chad hall to corrochano with 13 17 jlga attachment	FILES	search for message from <contact_name> chad hall </contact_name> to <to_contact_name> corrochano </to_contact_name> with <file_keyword> 13 17 jlga </file_keyword> <attachment> attachment </attachment>	file_search
find cortana experience overview excels attachments from santosh vangur	FILES	find <file_keyword> cortana experience overview </file_keyword> <file_type> excels </file_type> <attachment> attachments </attachment> from <contact_name> santosh vangur </contact_name>	file_search
from bapu containing attachment	FILES	from <contact_name> bapu </contact_name> containing <attachment> attachment </attachment>	file_search
quisquiliary flicker baff Hohenzollern attachments from last tuesday	FILES	<file_keyword> quisquiliary flicker baff Hohenzollern </file_keyword> <attachment> attachments </attachment> from <date> last tuesday </date>	file_search
attachment gardenin unfurrowed car from shivanvitha eleti	FILES	<attachment> attachment </attachment> <file_keyword> gardenin unfurrowed car </file_keyword> from <contact_name> shivanvitha eleti </contact_name>	file_search
attachments last year from laura ionel	FILES	<attachment> attachments </attachment> <date> last year </date> from <contact_name> laura ionel </contact_name>	file_search
from ploychompu srisa-an with flyer ln attachments	FILES	from <contact_name> ploychompu srisa-an </contact_name> with <file_keyword> flyer ln </file_keyword> <attachment> attachments </attachment>	file_search
from andrej sajahmetovs sheet attachments	FILES	from <contact_name> andrej sajahmetovs </contact_name> <file_type> sheet </file_type> <attachment> attachments </attachment>	file_search
show me baronry headachy reverbatory cerebrasthenic attachments with notebooks	FILES	show me <file_keyword> baronry headachy reverbatory cerebrasthenic </file_keyword> <attachment> attachments </attachment> with <file_type> notebooks </file_type>	file_search
what is recently attachment that henriksen sent silviu alexandru avram	FILES	what is <file_recency> recently </file_recency> <attachment> attachment </attachment> that <contact_name> henriksen </contact_name> <file_action> sent </file_action> <to_contact_name> silviu alexandru avram </to_contact_name>	file_search
whats recently attachment ben feinstein sent david romanski	FILES	whataposs <file_recency> recently </file_recency> <attachment> attachment </attachment> <contact_name> ben feinstein </contact_name> <file_action> sent </file_action> <to_contact_name> david romanski </to_contact_name>	file_search
