ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	CortanaResponse
177873293	0		user	wedding docume	FILES	file_search	<file_keyword> wedding </file_keyword> <file_type> docume </file_type>	[]		1	
177873294	0		user	cortana test xls	FILES	file_search	<file_keyword> cortana test </file_keyword> <file_type> xls </file_type>	[]		1	
177873295	0		user	where i'm from poem worksheet	FILES	file_search	<file_keyword> where i'm from poem </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873296	0		user	peoria water slides	FILES	file_search	<file_keyword> peoria water </file_keyword> <file_type> slides </file_type>	[]		1	
177873297	0		user	expenses spreadsheet	FILES	file_search	<file_keyword> expenses </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873298	0		user	investment excel documents	FILES	file_search	<file_keyword> investment </file_keyword> <file_type> excel </file_type> documents	[]		1	
177873299	0		user	updf photos	FILES	file_search	<file_keyword> updf </file_keyword> <file_type> photos </file_type>	[]		1	
177873300	0		user	mortgage payment spreadshet	FILES	file_search	<file_keyword> mortgage payment </file_keyword> <file_type> spreadshet </file_type>	[]		1	
177873301	0		user	sokudo worksheets	FILES	file_search	<file_keyword> sokudo </file_keyword> <file_type> worksheets </file_type>	[]		1	
177873302	0		user	budget sheet	FILES	file_search	<file_keyword> budget </file_keyword> <file_type> sheet </file_type>	[]		1	
177873303	0		user	class conferences vssm by kailash drabier	FILES	file_search	<file_keyword> class conferences </file_keyword> <file_type> vssm </file_type> by <contact_name> kailash drabier </contact_name>	[]		1	
177873304	0		user	United States photos from last June.	FILES	file_search	<file_keyword> United States </file_keyword> <file_type> photos </file_type> from <date> last June </date> .	[]		1	
177873305	0		user	prezi presentation	FILES	file_search	<file_keyword> prezi </file_keyword> <file_type> presentation </file_type>	[]		1	
177873306	0		user	songs onenote	FILES	file_search	<file_keyword> songs </file_keyword> <file_type> onenote </file_type>	[]		1	
177873307	0		user	poetry slideshow	FILES	file_search	<file_keyword> poetry </file_keyword> <file_type> slideshow </file_type>	[]		1	
177873308	0		user	expiring pdf files	FILES	file_search	<file_keyword> expiring </file_keyword> <file_type> pdf </file_type> files	[]		1	
177873309	0		user	trip notes please	FILES	file_search	<file_keyword> trip </file_keyword> <file_type> notes </file_type> please	[]		1	
177873310	0		user	wedding payment spreadsheet	FILES	file_search	<file_keyword> wedding payment </file_keyword> <file_type> spreadsheet </file_type>	[]		1	
177873311	0		user	sensitivity analysis excel spreadsheet	FILES	file_search	<file_keyword> sensitivity analysis </file_keyword> <file_type> excel spreadsheet </file_type>	[]		1	
177873312	0		user	investing for beginners powerpoint	FILES	file_search	<file_keyword> investing for beginners </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873313	0		user	management onenote	FILES	file_search	<file_keyword> management </file_keyword> <file_type> onenote </file_type>	[]		1	
177873314	0		user	cc txt	FILES	file_search	<file_keyword> cc </file_keyword> <file_type> txt </file_type>	[]		1	
177873315	0		user	football pictures please	FILES	file_search	<file_keyword> football </file_keyword> <file_type> pictures </file_type> please	[]		1	
177873316	0		user	therapy notes	FILES	file_search	<file_keyword> therapy </file_keyword> <file_type> notes </file_type>	[]		1	
177873317	0		user	take kids to school notes by imarhiagbe edid mali?ski harou	FILES	file_search	<file_keyword> take kids to school </file_keyword> <file_type> notes </file_type> by <contact_name> imarhiagbe edid mali?ski harou </contact_name>	[]		1	
177873318	0		user	ibm notes	FILES	file_search	<file_keyword> ibm </file_keyword> <file_type> notes </file_type>	[]		1	
177873319	0		user	Quarterly budget docs saved after February 2nd	FILES	file_search	<file_keyword> Quarterly budget </file_keyword> <file_type> docs </file_type> <file_action> saved </file_action> <date> after February 2nd </date>	[]		1	
177873320	0		user	reports mac two thousand fifteen quicken	FILES	file_search	<file_keyword> reports mac two thousand fifteen </file_keyword> <file_type> quicken </file_type>	[]		1	
177873321	0		user	feature presentation	FILES	file_search	<file_keyword> feature </file_keyword> <file_type> presentation </file_type>	[]		1	
177873322	0		user	s note	FILES	file_search	<file_keyword> s </file_keyword> <file_type> note </file_type>	[]		1	
177873323	0		user	mortgage payment spreadshet	FILES	file_search	<file_keyword> mortgage payment </file_keyword> <file_type> spreadshet </file_type>	[]		1	
177873324	0		user	itemized deduction worksheet	FILES	file_search	<file_keyword> itemized deduction </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873325	0		user	telefile worksheet	FILES	file_search	<file_keyword> telefile </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873326	0		user	chat about the design of the new product worksheet by miky arnulph	FILES	file_search	<file_keyword> chat about the design of the new product </file_keyword> <file_type> worksheet </file_type> by <contact_name> miky arnulph </contact_name>	[]		1	
177873327	0		user	arthropods slides	FILES	file_search	<file_keyword> arthropods </file_keyword> <file_type> slides </file_type>	[]		1	
177873328	0		user	fafsa promissory note	FILES	file_search	<file_keyword> fafsa promissory </file_keyword> <file_type> note </file_type>	[]		1	
177873329	0		user	errands note.	FILES	file_search	<file_keyword> errands </file_keyword> <file_type> note </file_type> .	[]		1	
177873330	0		user	attendance sheet	FILES	file_search	<file_keyword> attendance </file_keyword> <file_type> sheet </file_type>	[]		1	
177873331	0		user	pov nude pictures	FILES	file_search	<file_keyword> pov nude </file_keyword> <file_type> pictures </file_type>	[]		1	
177873332	0		user	opwdd forms	FILES	file_search	<file_keyword> opwdd </file_keyword> <file_type> forms </file_type>	[]		1	
177873333	0		user	lt review deck	FILES	file_search	<file_keyword> lt review </file_keyword> <file_type> deck </file_type>	[]		1	
177873334	0		user	6th grade pool party photos on smugmug	FILES	file_search	<file_keyword> 6th grade pool party </file_keyword> <file_type> photos </file_type> on <data_source> smugmug </data_source>	[]		1	
177873335	0		user	work accountability worksheet	FILES	file_search	<file_keyword> work accountability </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873336	0		user	planning with students in mind powerpoint	FILES	file_search	<file_keyword> planning with students in mind </file_keyword> <file_type> powerpoint </file_type>	[]		1	
177873337	0		user	once note	FILES	file_search	<file_keyword> once </file_keyword> <file_type> note </file_type>	[]		1	
177873338	0		user	Alert restaurant notes	FILES	file_search	<file_keyword> alert restaurant </file_keyword> <file_type> notes </file_type>	[]		1	
177873339	0		user	therapy notes	FILES	file_search	<file_keyword> therapy </file_keyword> <file_type> notes </file_type>	[]		1	
177873340	0		user	bio life vsdx by ardren	FILES	file_search	<file_keyword> bio life </file_keyword> <file_type> vsdx </file_type> by <contact_name> ardren </contact_name>	[]		1	
177873341	0		user	income and expense worksheet	FILES	file_search	<file_keyword> income and expense </file_keyword> <file_type> worksheet </file_type>	[]		1	
177873342	0		user	medicines onenote	FILES	file_search	<file_keyword> medicines </file_keyword> <file_type> onenote </file_type>	[]		1	
177873343	0		user	commands.txt powerpoint by kalhan vrbova deinhardt	FILES	file_search	<file_keyword> commands.txt </file_keyword> <file_type> powerpoint </file_type> by <contact_name> kalhan vrbova deinhardt </contact_name>	[]		1	
