ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
df4924a1-3205-4688-9eb5-4f14fd187c3a	0		user	.net training	EMAILSEARCH	search_email	<keyword>.net training</keyword>	[]		1
2d5080b8-e1ce-41d1-acac-c4cc35a08903	0		user	1:1 ankur	EMAILSEARCH	search_email	1:1 <contact_name>ankur</contact_name>	[]		1
b57f459c-2578-49cd-a6b6-9a9d9dda9c7a	0		user	3s docs from dragos	EMAILSEARCH	search_email	<keyword>3s</keyword> <attachment_type>docs</attachment_type> from <contact_name_from>dragos</contact_name_from>	[]		1
d550a7ac-713e-467c-80cb-b8d50d161ccd	0		user	3s from dragos	EMAILSEARCH	search_email	<keyword>3s</keyword> from <contact_name_from>dragos</contact_name_from>	[]		1
4fa15b48-ca40-4886-9ff4-b32a061640b1	0		user	all emails from David	EMAILSEARCH	search_email	all <message_type>emails</message_type> from <contact_name_from>David</contact_name_from>	[]		1
3ba52cf3-8d2e-49ba-9969-b2baa848a441	0		user	all hands by david	EMAILSEARCH	search_email	<keyword>all hands</keyword> by <contact_name_from>david</contact_name_from>	[]		1
253ac699-d9ad-4f6b-b124-870e2c429181	0		user	approve flights has	EMAILSEARCH	search_email	<keyword>approve flights has</keyword>	[]		1
2bb0bca1-32b5-489e-a295-0d0575d219c1	0		user	Avocado report	EMAILSEARCH	search_email	<keyword>Avocado report</keyword>	[]		1
24dc242d-2ccc-43b2-aa10-2ce945f4564e	0		user	background	EMAILSEARCH	search_email	<keyword>background</keyword>	[]		1
acf942cd-2c4d-4f26-a5af-b4cbae4c07fa	0		user	background check	EMAILSEARCH	search_email	<keyword>background check</keyword>	[]		1
1ff4ed61-d6e8-473c-82f1-9fa164fe40f6	0		user	Bigfunnel rollout update from Tariq sent around Christmas	EMAILSEARCH	search_email	<keyword>Bigfunnel rollout update</keyword> from <contact_name_from>Tariq</contact_name_from> sent around <start_date>Christmas</start_date>	[]		1
9a7bf9f3-950a-4d54-9881-41d2c86ce64a	0		user	book recommendations from bill gates	EMAILSEARCH	search_email	<keyword>book recommendations</keyword> from <contact_name_from>bill gates</contact_name_from>	[]		1
5405c27f-2bf0-4d47-bed4-b0f3853dc801	0		user	brunch with adam	EMAILSEARCH	search_email	<keyword>brunch</keyword> with <contact_name>adam</contact_name>	[]		1
1ef04b8b-da18-4c74-97ed-718340c40f72	0		user	bug reports on substrate	EMAILSEARCH	search_email	<keyword>bug reports on substrate</keyword>	[]		1
558e1987-980c-4cf4-a4ac-1b48e8df1f93	0		user	client contract	EMAILSEARCH	search_email	<keyword>client contract</keyword>	[]		1
26545694-cd1b-48b3-ae23-e08de962736d	0		user	code review	EMAILSEARCH	search_email	<keyword>code review</keyword>	[]		1
923a9ab7-903b-4a25-9ab2-1aaa544d5879	0		user	code review from yunus	EMAILSEARCH	search_email	<keyword>code review</keyword> from <contact_name_from>yunus</contact_name_from>	[]		1
83016f1e-fe42-4df4-8c0d-7c6dc2a1faa7	0		user	"Code review sent by members of ""3SDevs"""	EMAILSEARCH	search_messages	<keyword>Code review</keyword> <email_state>sent</email_state> by <contact_name_from>members</contact_name_from> of	[]		1
82a7d4f1-3adb-4bb3-be4e-a57df6c0b285	0		user	codereview	EMAILSEARCH	search_email	<keyword>codereview</keyword>	[]		1
fcfa3f02-f5d7-4aec-be8c-31cd786e60bd	0		user	competitive analysis with google	EMAILSEARCH	search_email	<keyword>competitive analysis with google</keyword>	[]		1
8a6deb66-b99c-4599-84a6-89894cf3df3a	0		user	competitive review	EMAILSEARCH	search_email	<keyword>competitive review</keyword>	[]		1
e84d8c96-a516-4714-bb81-332bd4787559	0		user	ComposableRequest	EMAILSEARCH	search_email	<keyword>ComposableRequest</keyword>	[]		1
95bd6fc8-8358-4dcd-bf2b-354ad7bfa719	0		user	concur hotel	EMAILSEARCH	search_email	<keyword>concur hotel</keyword>	[]		1
49518587-1b69-4d0b-b505-9994d87e2110	0		user	connect request	EMAILSEARCH	search_email	<keyword>connect request</keyword>	[]		1
9d4ecbac-fc78-4b30-a9ce-b4a10cb7a363	0		user	customer satisfaction survey	EMAILSEARCH	search_email	<keyword>customer satisfaction survey</keyword>	[]		1
541a4802-6fab-440d-9aac-9ca42e723119	0		user	default datetime	EMAILSEARCH	search_email	<keyword>default datetime</keyword>	[]		1
95e6c2a3-b240-4868-983b-525c3f32a57e	0		user	deleted emails to 3SDevs	EMAILSEARCH	search_email	<message_category>deleted</message_category> <message_type>emails</message_type> to <keyword>3SDevs</keyword>	[]		1
fe9b43b6-32f9-4e84-bf5a-571640b3cf3b	0		user	demo tenant	EMAILSEARCH	search_email	<keyword>demo tenant</keyword>	[]		1
663e3971-9b45-49b7-9756-d5b7d8a40d45	0		user	design document from sitaram	EMAILSEARCH	search_email	<keyword>design</keyword> <attachment_type>document</attachment_type> from <contact_name_from>sitaram</contact_name_from>	[]		1
11a584de-daa7-48f8-aa80-1240506d6173	0		user	design documents for review	EMAILSEARCH	search_email	<keyword>design</keyword> <attachment_type>documents</attachment_type> for <keyword>review</keyword>	[]		1
62694006-ef21-4df7-ad7c-98e7161ada9e	0		user	email threads with Jeff which have Mary in it	EMAILSEARCH	search_email	<message_type>email</message_type> <message_type>threads</message_type> with <contact_name>Jeff</contact_name> which have <keyword>Mary</keyword> in it	[]		1
ca4748fb-c2bc-48ec-9400-17c865f2171d	0		user	emails deleted between 22 Jan to/till yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> deleted between <start_date>22 Jan to/till yesterday</start_date>	[]		1
bc01ed88-0339-453b-92dc-dffc786ab090	0		user	emails from ankur gupta	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>ankur gupta</contact_name_from>	[]		1
4dcb6194-c6ba-42c1-8a5b-5d457b40336c	0		user	emails from David	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from>	[]		1
6911ca62-fe48-47ee-9421-4168db06b3f9	0		user	emails from David between 1 Jan to 22 Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> between <start_date>1 Jan</start_date> to <end_date>22 Jan</end_date>	[]		1
c58535d8-38dd-4902-a5d5-74f46aa1d575	0		user	emails from David received on 2 days ago	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on <start_date>2 days ago</start_date>	[]		1
74c933b2-7a0f-4879-9cf8-a9cd6e056d1f	0		user	emails from David received on 2 days before yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on <start_date>2 days before yesterday</start_date>	[]		1
e52bfba8-11c4-45a6-888a-95081b008e52	0		user	emails from David received on at around 2AM GST	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on at around <start_time>2AM GST</start_time>	[]		1
3caf85f5-13e8-4819-85a2-f35c5bbf2b9a	0		user	emails from David received on at around 2PM	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on at around <start_time>2PM</start_time>	[]		1
902ad70c-cb5b-4e50-aa53-38db9e155e81	0		user	emails from David received on on 22 Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on on <start_date>22 Jan</start_date>	[]		1
79a32111-5a15-48af-a70d-6158adaf9979	0		user	emails from David received on on 22nd Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on on <start_date>22nd Jan</start_date>	[]		1
28c9459e-eca2-4fb8-b482-cd9bfd58948e	0		user	emails from David received on today	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on <start_date>today</start_date>	[]		1
5c6af1c3-1f4a-4ac5-8f06-3744be6ae797	0		user	emails from David received on yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> received on <start_date>yesterday</start_date>	[]		1
54b34546-349e-49a9-8c2c-4d21bc0bafda	0		user	emails from David sent 2 days ago	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent <start_date>2 days ago</start_date>	[]		1
82317c59-e80b-47c6-8fc5-7c665d59f4ef	0		user	emails from David sent 2 days before yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> <email_state>sent</email_state> <start_date>2 days before yesterday</start_date>	[]		1
d7470537-1c3d-479d-b4e9-30b1486991e3	0		user	emails from David sent at around 2AM GST	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent at around <keyword>2AM GST</keyword>	[]		1
38125386-d0c2-4914-b735-311d35a7b567	0		user	emails from David sent at around 2PM	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent at around <start_time>2PM</start_time>	[]		1
7befcf07-14cd-4260-9181-5d78d8bd8761	0		user	emails from David sent on 22 Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent on <start_date>22 Jan</start_date>	[]		1
17f20401-b7c9-4589-b6f9-dbeb805b65c5	0		user	emails from David sent on 22nd Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent on <start_date>22nd Jan</start_date>	[]		1
7a3973b0-29c7-4da6-b3a5-98906d243e57	0		user	emails from David sent today	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent <start_date>today</start_date>	[]		1
12688abd-084d-4cc4-bac0-3dd904e33ee7	0		user	emails from David sent yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> sent <start_date>yesterday</start_date>	[]		1
30568229-7101-4b2e-9b76-ed9e103a9736	0		user	emails from David which I replied to	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> which I <email_state>replied</email_state> to	[]		1
713d8c7e-e8a5-4dcd-998e-e6d37e4a7a6e	0		user	"emails from David with subject ""Cloud"""	EMAILSEARCH	search_messages	<message_type>emails</message_type> from <contact_name_from>David</contact_name_from> with subject	[]		1
91c6270f-64ce-46e1-88bb-84d60d798e96	0		user	emails of release gates	EMAILSEARCH	search_email	<message_type>emails</message_type> of <keyword>release gates</keyword>	[]		1
c04e87ef-6829-4dfa-a2aa-b66316a6e98e	0		user	emails sent by David	EMAILSEARCH	search_email	<message_type>emails</message_type> sent by <contact_name_from>David</contact_name_from>	[]		1
29f9ba50-a5e6-42e6-a879-e6894825d222	0		user	emails sent to David	EMAILSEARCH	search_email	<message_type>emails</message_type> sent to <contact_name>David</contact_name>	[]		1
dd1a29b8-4253-4d90-bc2f-5b279986386b	0		user	emails sent to David by me	EMAILSEARCH	search_email	<message_type>emails</message_type> sent to <contact_name_to>David</contact_name_to> by <contact_name>me</contact_name>	[]		1
f2e44cb0-3283-49b3-9fbd-79960847f4af	0		user	emails sent to David by Nitin	EMAILSEARCH	search_email	<message_type>emails</message_type> sent to <contact_name_to>David</contact_name_to> by <contact_name_from>Nitin</contact_name_from>	[]		1
36232f98-fd06-41eb-9250-1eda62e00966	0		user	emails sent to David from me	EMAILSEARCH	search_email	<message_type>emails</message_type> sent to <contact_name_to>David</contact_name_to> from <contact_name_from>me</contact_name_from>	[]		1
7280e0c9-4a0c-4216-815c-6fc2caf39fe2	0		user	emails sent to David from Nitin	EMAILSEARCH	search_email	<message_type>emails</message_type> sent to <contact_name>David</contact_name> from <contact_name_from>Nitin</contact_name_from>	[]		1
690435fe-13b8-4141-ab5c-a708b817d9ed	0		user	emails to 3SDevs that are deleted	EMAILSEARCH	search_email	<message_type>emails</message_type> to <keyword>3SDevs</keyword> that are <message_category>deleted</message_category>	[]		1
a4a8873e-2e62-43bc-815a-78dd47ed1d28	0		user	emails to 3SDevs that got deleted	EMAILSEARCH	search_email	<message_type>emails</message_type> to <contact_name>3SDevs</contact_name> that got <message_category>deleted</message_category>	[]		1
a37480c1-b956-45b7-a5b9-3ca310c6711e	0		user	emails to 3SDevs that I deleted	EMAILSEARCH	search_email	<message_type>emails</message_type> to <keyword>3SDevs</keyword> that I <message_category>deleted</message_category>	[]		1
5973b572-236d-4bbb-9e4b-f2c880104112	0		user	emails to David from me after 1 Jan 	EMAILSEARCH	search_email	<message_type>emails</message_type> to <contact_name>David</contact_name> from me <start_date>after 1 Jan</start_date> 	[]		1
b5f82c01-67cc-4b53-8f9e-966b7d7917f9	0		user	emails to David sent before 22 Jan	EMAILSEARCH	search_email	<message_type>emails</message_type> to <contact_name>David</contact_name> sent <end_date>before 22 Jan</end_date>	[]		1
54609d0b-fa2f-4525-82a3-dd48cbaeeed2	0		user	emails to David sent before yesterday	EMAILSEARCH	search_email	<message_type>emails</message_type> to <contact_name>David</contact_name> sent <end_date>before yesterday</end_date>	[]		1
9d6ebd27-99d4-4547-8d8d-2828465daa17	0		user	emails with release gates mentioned in them	EMAILSEARCH	search_email	<message_type>emails</message_type> with <keyword>release gates mentioned</keyword> in them	[]		1
a2bca2e4-5dd5-4fac-a07a-9bdb24eaa2df	0		user	"emails with subject ""Bug Bash"" sent by member of ""3SDevs"""	EMAILSEARCH	search_messages	<message_type>emails</message_type> with subject	[]		1
775d57cd-6a25-4367-97b6-c8e3f3c29748	0		user	enterprise	EMAILSEARCH	search_email	<keyword>enterprise</keyword>	[]		1
7a438d1c-a433-4f77-9dc1-b8690fd286d2	0		user	every email from David	EMAILSEARCH	search_email	every <message_type>email</message_type> from <contact_name_from>David</contact_name_from>	[]		1
9d9bc515-aa00-4845-bac7-012753e128ea	0		user	expedia hotel	EMAILSEARCH	search_email	<keyword>expedia hotel</keyword>	[]		1
ac4abb86-2626-4ec4-8821-2afa294a9372	0		user	expedia travel confirmation	EMAILSEARCH	search_email	<keyword>expedia travel confirmation</keyword>	[]		1
c1d2c181-c253-4be3-b6a6-731666dfe4c0	0		user	expense report utkarsh	EMAILSEARCH	search_email	<keyword>expense report utkarsh</keyword>	[]		1
544fad36-a5c2-40a1-ad23-b0645e1a32cd	0		user	experiment expir	EMAILSEARCH	search_email	<keyword>experiment expir</keyword>	[]		1
3a974c32-2226-4b61-a95e-b17aecb1d443	0		user	experiment expire	EMAILSEARCH	search_email	<keyword>experiment expire</keyword>	[]		1
02657fba-bea1-461a-8154-008ee0f1d6ef	0		user	feedback request	EMAILSEARCH	search_email	<keyword>feedback request</keyword>	[]		1
2b06b9aa-ce7c-468a-a353-f11ecc9cadab	0		user	Find me all the email threads with Jeff which have Mary in it	EMAILSEARCH	search_email	Find me all the <message_type>email</message_type> threads with <contact_name>Jeff</contact_name> which have <contact_name_cc>Mary</contact_name_cc> in it	[]		1
a5c16bf1-bd94-44e5-afe9-033ddb300983	0		user	Find me all the emails from my reports with weekly status in titles sent in the last 3 weeks	EMAILSEARCH	search_email	Find me all the <message_type>emails</message_type> from my <keyword>reports with weekly status in titles</keyword> <email_state>sent</email_state> in the <start_date>last 3 weeks</start_date>	[]		1
12a3d32b-b140-4539-850a-e036862985d4	0		user	Find me all the oof reminder messages of people I work with	EMAILSEARCH	search_email	Find me all the <destination_folder>oof reminder</destination_folder> messages of people I work with	[]		1
0ccafb82-372f-4722-882e-273b3d2c3a0b	0		user	Find me the first email thread on pass-through search sent by Tariq	EMAILSEARCH	search_email	Find me the <order_ref>first</order_ref> <message_type>email</message_type> thread on <keyword>pass-through</keyword> search <email_state>sent</email_state> by <contact_name_from>Tariq</contact_name_from>	[]		1
1b5d7b8f-d25a-4f69-a55d-1447b526e238	0		user	Find me the latest status update on 3S from Mary	EMAILSEARCH	search_email	Find me the <keyword>latest status update</keyword> on <start_date>3S</start_date> from <contact_name_from>Mary</contact_name_from>	[]		1
38575496-18df-4b8b-b401-4f600b52b804	0		user	flight boston	EMAILSEARCH	search_email	<keyword>flight boston</keyword>	[]		1
c54600c8-a2b2-4611-8119-dbbb7c96ee8c	0		user	flight confirmation for the spain trip	EMAILSEARCH	search_email	<keyword>flight confirmation for the spain trip</keyword>	[]		1
8738c8dc-2d5c-4aef-8553-cec97513d244	0		user	from:binit and subject:substrate	EMAILSEARCH	search_email	<contact_name_from>from:binit</contact_name_from> and <email_subject>subject:substrate</email_subject>	[]		1
