ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	CortanaResponse	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
186106411	0		user	show me emails about E L U		EMAILSEARCH	search_email	show me <message_type>emails</message_type> about <keyword>E L U</keyword>	[]		1
186106396	0		user	emails about cousteau		EMAILSEARCH	search_email	<message_type>emails</message_type> about <keyword>cousteau</keyword>	[]		1
186106393	0		user	where can i book travels		NOTSURE	other_domain	where can i book travels	[]		1
186106392	0		user	what's Andrew 's phone number		PEOPLE	search_people_attribute	what's <contact_name>Andrew</contact_name> 's <people_attribute>phone number</people_attribute>	[]		1
186106391	0		user	email from Jim Boyle about Lucia		EMAILSEARCH	search_email	<message_type>email</message_type> from <contact_name_from>Jim Boyle</contact_name_from> about <keyword>Lucia</keyword>	[]		2
186106389	0		user	send email to Allan		NOTSURE	other_domain	send email to Allan	[]		1
186106386	0		user	show me emails from Stacey Hanson		EMAILSEARCH	search_email	show me <message_type>emails</message_type> from <contact_name_from>Stacey Hanson</contact_name_from>	[]		1
186106385	0		user	find chuck friedman		PEOPLE	search_people_by_name	find <contact_name>chuck friedman</contact_name>	[]		2
186106351	0		user	find me find me the first email James McElroy ever sent me		EMAILSEARCH	search_email	find me find me the <order_ref>first</order_ref> <message_type>email</message_type> <contact_name_from>James McElroy</contact_name_from> ever sent <relationship_name_to>me</relationship_name_to>	[]		1
186106398	0		user	show me emails from Malik in january		EMAILSEARCH	search_email	show me <message_type>emails</message_type> from <contact_name_from>Malik</contact_name_from> in <start_date>january</start_date>	[]		1
186106400	0		user	emails from Jon Hamaker between february first and february fourth		EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>Jon Hamaker</contact_name_from> between <start_date>february first</start_date> and <end_date>february fourth</end_date>	[]		1
186106401	0		user	emails from nathan speech		EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>nathan speech</contact_name_from>	[]		1
186106403	0		user	image from my team		EMAILSEARCH	search_email	<attachment_type>image</attachment_type> from <relationship_name_from>my team</relationship_name_from>	[]		1
186106410	0		user	blah blah		NOTSURE	non_sense	blah blah	[]		3
186106371	0		user	messages from speech Nitin		EMAILSEARCH	search_email	messages from <contact_name_from>speech Nitin</contact_name_from>	[]		1
186106369	0		user	email from my manager		EMAILSEARCH	search_email	<message_type>email</message_type> from <relationship_name_from>my manager</relationship_name_from>	[]		2
186106367	0		user	emails from Dan		EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>Dan</contact_name_from>	[]		1
186106365	0		user	show emails with Diego send me last week with attachments in where the town was on it		EMAILSEARCH	search_email	show <message_type>emails</message_type> with <contact_name_from>Diego</contact_name_from> send <relationship_name_to>me</relationship_name_to> <start_date>last week</start_date> with <attachment>attachments</attachment> in where <keyword>the town</keyword> was on it	[]		1
186106424	0		user	files from Dwight Kruger's		EMAILSEARCH	search_email	<attachment_type>files</attachment_type> from <contact_name_from>Dwight Kruger</contact_name_from>'s	[]		1
186106427	0		user	find Shearer		PEOPLE	search_people_by_name	find <keyword>Shearer</keyword>	[]		1
