MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
search for file from last may that included attachments	FILES	search for  file  from <start_date> last may </start_date> that included <attachment> attachments </attachment>	search_email
yesterday he sent me an files about png attachments on dogs	FILES	<start_date> yesterday </start_date> he sent <relationship_name_to> me </relationship_name_to> an  files  about <attachment_type> png </attachment_type> <attachment> attachments </attachment> on <keyword> dogs </keyword>	search_email
i want to see file on txy project with attachments	FILES	i want to see  file  on <keyword> txy project </keyword> with <attachment> attachments </attachment>	search_email
file that has slide attachments	FILES	 file  that has <attachment_type> slide </attachment_type> <attachment> attachments </attachment>	search_email
attachments from christmas to new years	FILES	<attachment> attachments </attachment> from <start_date> christmas </start_date> to <end_date> new years </end_date>	search_email
files from greg to vanessa about teaching with attachment	FILES	 files  from <contact_name_from> greg </contact_name_from> to <contact_name_to> vanessa </contact_name_to> about <keyword> teaching </keyword> with <attachment> attachment </attachment>	search_email
files from sally to kenisha with attachment	FILES	 files  from <contact_name_from> sally </contact_name_from> to <contact_name_to> kenisha </contact_name_to> with <attachment> attachment </attachment>	search_email
search for files sent to todd that contain onenotes attachments	FILES	search for  files  sent to <contact_name_to> todd </contact_name_to> that contain <attachment_type> onenotes </attachment_type> <attachment> attachments </attachment>	search_email
peter with attachment vsdm	FILES	<contact_name> peter </contact_name> with <attachment> attachment </attachment> <attachment_type> vsdm </attachment_type>	search_email
file from bob to jack last week with attachments	FILES	 file  from <contact_name_from> bob </contact_name_from> to <contact_name_to> jack </contact_name_to> <start_date> last week </start_date> with <attachment> attachments </attachment>	search_email
find new file from steven with attachments	FILES	find <message_category> new </message_category>  file  from <contact_name_from> steven </contact_name_from> with <attachment> attachments </attachment>	search_email
file with attachment about hip hop	FILES	 file  with <attachment> attachment </attachment> about <keyword> hip hop </keyword>	search_email
file from tim with an attachment about weater	FILES	 file  from <contact_name_from> tim </contact_name_from> with an <attachment> attachment </attachment> about <keyword> weater </keyword>	search_email
from liza attachment sheet	FILES	from <contact_name_from> liza </contact_name_from> <attachment> attachment </attachment> <attachment_type> sheet </attachment_type>	search_email
files from john with mpp attachments	FILES	 files  from <contact_name_from> john </contact_name_from> with <attachment_type> mpp </attachment_type> <attachment> attachments </attachment>	search_email
file attachments about pizza recipes	FILES	 file  <attachment> attachments </attachment> about <keyword> pizza recipes </keyword>	search_email
last weeks file from jamison with attachments	FILES	<start_date> last week </start_date> s  file  from <contact_name_from> jamison </contact_name_from> with <attachment> attachments </attachment>	search_email
new work schedules file from management with attachments	FILES	<keyword> new work schedules </keyword>  file  from <contact_name_from> management </contact_name_from> with <attachment> attachments </attachment>	search_email
file from eka sofia with attachment	FILES	 file  from <contact_name_from> eka sofia </contact_name_from> with <attachment> attachment </attachment>	search_email
files with ppts as attachment	FILES	 files  with <attachment_type> ppts </attachment_type> as <attachment> attachment </attachment>	search_email
vcs attachments file	FILES	<attachment_type> vcs </attachment_type> <attachment> attachments </attachment>  file 	search_email
essay file with draft attachment from january 5th to march 10th	FILES	<keyword> essay </keyword>  file  with <keyword> draft </keyword> <attachment> attachment </attachment> from <start_date> january 5th </start_date> to <end_date> march 10th </end_date>	search_email
file that have credit card expense attachments	FILES	 file  that have <keyword> credit card expense </keyword> <attachment> attachments </attachment>	search_email
