ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
1	0		user	Email Allison I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Allison</contact_name> <message>I’m running late for our meeting</message>	[]		1
2	0		user	Email Chad I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Chad</contact_name> <message>I’m running late for our meeting</message>	[]		1
3	0		user	Email Ashok I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Ashok</contact_name> <message>I’m running late for our meeting</message>	[]		1
4	0		user	Email Perry I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Perry</contact_name> <message>I’m running late for our meeting</message>	[]		1
5	0		user	Email Jose I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Jose</contact_name> <message>I’m running late for our meeting</message>	[]		1
6	0		user	Email Beryl I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Beryl</contact_name> <message>I’m running late for our meeting</message>	[]		1
7	0		user	Email Craig I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Craig</contact_name> <message>I’m running late for our meeting</message>	[]		1
8	0		user	Email Andrew I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Andrew</contact_name> <message>I’m running late for our meeting</message>	[]		1
9	0		user	Email Nitin I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Nitin</contact_name> <message>I’m running late for our meeting</message>	[]		1
10	0		user	Email Satya I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Satya</contact_name> <message>I’m running late for our meeting</message>	[]		1
11	0		user	Email Rajesh I’m running late for our meeting	EMAIL	send_email	Email <contact_name>Rajesh</contact_name> <message>I’m running late for our meeting</message>	[]		1
12	0		user	Send email to Allison that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Allison</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
13	0		user	Send email to Chad that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Chad</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
14	0		user	Send email to Ashok that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Ashok</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
15	0		user	Send email to Perry that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Perry</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
16	0		user	Send email to Jose that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Jose</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
17	0		user	Send email to Beryl that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Beryl</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
18	0		user	Send email to Craig that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Craig</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
19	0		user	Send email to Andrew that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Andrew</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
20	0		user	Send email to Nitin that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Nitin</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
21	0		user	Send email to Satya that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Satya</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
22	0		user	Send email to Rajesh that I’m running late	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Rajesh</contact_name> that <message>I’m running late</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
23	0		user	Send email to Allison that I’m running late for our meeting	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Allison</contact_name> that <message>I’m running late for our meeting</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
24	0		user	Send email to Chad that I’m running late for our meeting	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Chad</contact_name> that <message>I’m running late for our meeting</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
25	0		user	Send email to Ashok that I’m running late for our meeting	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Ashok</contact_name> that <message>I’m running late for our meeting</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
26	0		user	Send email to Perry that I’m running late for our meeting	EMAIL	send_email	Send <message_type>email</message_type> to <contact_name>Perry</contact_name> that <message>I’m running late for our meeting</message>	[{"slot_name":"message_type","slot_value":"email","meta_data":{"CanonicalEntity":"email"}}]		1
