ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency
1	0		user	Excel from Lisa	EMAILSEARCH	search_email	<attachment_type>Excel</attachment_type> from <contact_name_from>Lisa</contact_name_from>	[]		1
2	0		user	gifs from Paris HIlton	EMAILSEARCH	search_email	<attachment_type>gifs</attachment_type> from <contact_name_from>Paris HIlton</contact_name_from>	[]		1
3	0		user	hi there	NOTSURE	other_domain	hi there	[]		1
4	0		user	emails from Kristy	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>Kristy</contact_name_from>	[]		1
5	0		user	to Adam	EMAILSEARCH	search_email	to <contact_name_to>Adam</contact_name_to>	[]		1
7	0		user	To Dad about work invoice	EMAILSEARCH	search_email	To <relationship_name_to>Dad</relationship_name_to> about <keyword>work invoice</keyword>	[]		1
8	0		user	emails from chris january 1-january 5	EMAILSEARCH	search_email	<message_type>emails</message_type> from <contact_name_from>chris</contact_name_from> <start_date>january 1-january 5</start_date>	[]		1
9	0		user	to john with designs	EMAILSEARCH	search_email	to <contact_name_to>john</contact_name_to> with <keyword>designs</keyword>	[]		1
10	0		user	from Michael with PDF	EMAILSEARCH	search_email	from <contact_name_from>Michael</contact_name_from> with <attachment_type>PDF</attachment_type>	[]		1
11	0		user	emails from Tuesday the 6th	EMAILSEARCH	search_email	<message_type>emails</message_type> from <start_date>Tuesday the 6th</start_date>	[]		1
13	0		user	It was john birthday party last night	NOTSURE	other_domain	It was john birthday party last night	[]		1
14	0		user	Cindy's emails with attachments.	EMAILSEARCH	search_email	<contact_name>Cindy</contact_name>'s <message_type>emails</message_type> with <attachment>attachments</attachment>.	[]		1
16	0		user	from John with CSV files	EMAILSEARCH	search_email	from <contact_name_from>John</contact_name_from> with <attachment_type>CSV files</attachment_type>	[]		1
17	0		user	photo from john	EMAILSEARCH	search_email	<attachment_type>photo</attachment_type> from <contact_name_from>john</contact_name_from>	[]		1
18	0		user	Attachment email from Goku pdf.	EMAILSEARCH	search_email	<attachment>Attachment</attachment> <message_type>email</message_type> from <contact_name_from>Goku</contact_name_from> <attachment_type>pdf</attachment_type>.	[]		1
