MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	ConversationContext	Cat
What's meeting do I have tomorrow?	CALENDAR	find_calendar_entry	What's meeting do I have <start_date>tomorrow</start_date>?	{'UserFileNames': ['Calendar Skill', 'Jan Review', 'Cortana UWP app - skill readiness', '2020_01_SmartComposeMonthlyReview', 'Deprecation Deck v2', 'QASTester', 'Engineering Update', 'Microsoft Search User Job Framework', 'Q3-OKRs-Summary', 'TotalClientErrorsRawDataLog2020-01-072020-01-08', 'Assistant Roadmap Sync', 'Cortana transition announcement - DRAFT', 'Out of Routines Insight - Incubation', 'Calendar Answer', 'Endpoints Table', 'OMC Perf doc', 'Day in a life - Outlook Cortana Dec 17', 'MSAI - CSI Work List', 'Skill Authoring', 'Deprecation plan - Cortana Mobile Apps'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'fy20', 'perf', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'substrate', 'focused', 'omc', 'substrate perf shiproom', 'search instrumentation', 'substrate shiproom', 'substrate perf', 'perf shiproom', 'fy20 q3', 'feedback', 'emails', 'instrumentation']}	NegativeCrossDomainNoMatch
Patch me into my upcoming meeting.	CALENDAR	connect_to_meeting	Patch me into my <start_time>upcoming</start_time> meeting.	{'UserFileNames': ['H2 planning - Communication and Collaboration', 'Cortana in Teams FAQ', 'Welcome', 'Running Experiments - Advanced', 'GRC Review Office Hours Sign-Up Sheet', 'Drive Completion Rate for GA', 'Kingston', 'Assistant Roadmap Sync', 'Spring2020-MLADS-Reviewers', 'CalendarWorkingDocument_0113_draft', 'Read Act Compose Framing', 'Cortana Deprecations Tracker', 'Cortana_Briefing_WS3', 'Cortana Israel - Requests and Scheduling Intent- Shiproom', 'Analysis and Data', 'Cortana UWP app - skill readiness', 'Cortana Israel - Action Item extraction - Shiproom', 'Interview framing – Julia Liuson', 'Azure Monitor CEN', 'Kingston-WorkingDeck'], 'UserFileNameKeyPhrases': ['set up cortana', 'set cortana', 'commute', 'test cases', 'core skills', 'ios', 'ios commute pass', 'os commute pass', 'commute pass', 'ios commute', 'os commute', 'ios pass', 'os pass', 'os', 'q3', 'cases', 'kingston core skills', 'core skills testing', 'set up compliant', 'kingston device']}	NegativeCrossDomainNoMatch
Deakyne my next meeting with Cruise.	CALENDAR	find_calendar_entry	Deakyne my <start_time>next</start_time> meeting with <contact_name>Cruise</contact_name>.	{'UserFileNames': ['iOS Core Skills + Extras', 'iOS Commute Pass Gmail', 'Android Core skills+Extras', 'Cortana in Teams R2 Weekly Shiproom', 'Running Feature Rollouts', 'MSAI - CSI Work List', 'Vendor Allocation', 'MSA and AAD Report', 'ICE Services Weekly Review', 'Sample App Testing', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'DRI NoteBook', 'Skills Teams LT review 12-04-19', 'Feedback OKRs', 'DRI', 'iOS Commute Outlook Pass', 'Kingston_Core Skills_Testing', 'Kingston-Device 2-BVT', 'Bugs on Kingston', 'FY20 Q3 At a Glance - Keypoints'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'kingston device', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'test cases', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass']}	NegativeCrossDomainNoMatch
Hey Cortana Hey when is my next meeting.	CALENDAR	find_calendar_when	Hey Cortana Hey when is my <start_time>next</start_time> meeting.	{'UserFileNames': ['[PM spec]Teams Mobile Search Instrumentation', 'Scrum', 'Teams Pass Rate', 'MicrosoftSearch-UniversalAPI', 'AI+R Scorecard', '[Migrated] Onboarding to ExP', 'M365 Search - 3S Instrumentation - Client Contracts', '后端接口分配', 'OM Cortana', '远程办公保密承诺函', 'Microsoft Search User Job Framework', 'APIs', 'Alerts', 'Search and Assistant in Outlook Mobile - Quarterly Plan Checkpoint - October 30th', 'Release Notes', 'Running Experiments', 'Coronavirus Outbreak - ERT List (during CNY)', '2020 Chinese New Year vacation plan', 'Single-suggestion meeting suggestions with context - explorations', 'MSAIRQList'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'cases report', 'msai', 'cases', 'set up cortana', 'set cortana', 'ios', 'commute', 'os', 'core skills', 'core skills extras', 'skills and extras', 'extras and skills', 'ios commute pass', 'core and extras', 'os commute pass', 'skills extras', 'commute pass']}	NegativeCrossDomainNoMatch
Patch me into my 12:30 meeting.	CALENDAR	connect_to_meeting	Patch me into my <start_time>12:30</start_time> meeting.	{'UserFileNames': ['Meeting Notes', 'Augmentation Loop Walking Deck', '202001_WorkingSession_RoleOfAIInEffectiveMeetings', 'Accessibility-Syncs+Notes', 'DRI', '3 Build It - Introduction to IaaS', '2019-11 MSAI IL Research - Task Modeling Overview with Nitin', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Master Tax File', 'Team Status', '01-30-2020 Knowledge Bot - Full', 'TaskFabric_SuggestedTasksResponse', 'MTIS - Meeting intelligent', 'Meeting Intent Annotation Guidelines V3', 'Welcome', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'S+A OM focused Shiproom 01282020', 'Introduction to MSAI Current', 'Metrics', 'meeting'], 'UserFileNameKeyPhrases': ['substrate', 'fy19', 'untitled form', 'untitled', 'deprecation', 'fy19 mw', 'msai', 'cim', 'rajesh', 'fy20', 'ai', 'relevance', 'mpr', 'tasks', 'cortana on windows', 'device experience', 'surface audio app', 'cortana windows', 'rajesh jan 2020', 'outlook commute']}	NegativeCrossDomainNoMatch
Remove my meeting.	CALENDAR	delete_calendar_entry	Remove my meeting.	{'UserFileNames': ['Assistant', 'Running Experiments', 'SERP Grid and Layout', '1756857 - Query suggestions', 'Meeting Notes', 'Local Experience', 'External dll contact points', 'Cortana in Teams R2 Weekly Shiproom', 'Overview_AzureCompliance_Tracker_Current', 'Enterprise Data Taxonomy (Asset Classification Standard)', 'MSAI Universal Search and Recommendations', 'MicrosoftSearch-UniversalAPI', 'Release Notes', 'Reducing Kusto Logging COGS', 'Substrate Perf Shiproom - 2020-1-29', 'CLP V-Team Status', 'Search and Assistant in Outlook Mobile - Quarterly Plan Checkpoint - October 30th', 'QQR CY19Q4', 'FY21 Substrate Budget Planning', 'MSAI - CSI Work List'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'cortana in teams', 'cortana teams', 'voice skills', 'substrate', 'ai', 'fy20', 'shiproom current', 'teams 2020', 'review jan', 'voice', 'jan 20', 'knowledge', 'bot', 'skills test', 'extraction meeting transcript', 'highlights extraction meeting', 'extraction from transcript', 'highlights from meeting']}	NegativeCrossDomainNoMatch
Join my meeting I'll text pm.	CALENDAR	connect_to_meeting	Join my meeting I&apos;ll text pm.	{'UserFileNames': ['PeopleSearchInTeams', 'Cortana in Teams R2 Weekly Shiproom', 'Deprecation Deck v2', 'Microsoft Search User Job Framework', 'Principal Briefing FINAL Posted Jan 23 2020', 'Substrate Partner Discussion with Teams_01_13_2020', 'Assistant Roadmap Sync', 'Cortana transition announcement - DRAFT', 'Endpoints Table', 'Cosmos Convergence Subs', 'OMC Perf doc', 'M365 Search - 3S Instrumentation - Client Contracts', 'Controllers and Processors Analysis Guide - FINAL', 'Voice Skills BVT Manual Test Cases (Core)', 'Cortana on Windows Vibranium International Plan', 'Perf OKRs', 'GDPR Service Solution for Cortana', 'FY21 Substrate Budget Planning', 'UWP Skill roundup - Privacy Security Compliance tracking', 'GRC Review Office Hours Sign-Up Sheet'], 'UserFileNameKeyPhrases': ['msai', 'הצטרפות מייקרוסופט ישראל', 'מייקרוסופט ישראל הצהרת', 'הצטרפות מייקרוסופט ללא', 'מייקרוסופט ללא הצהרת', 'מייקרוסופט ישראל ללא', 'ט הצטרפות מייקרוסופט', 'directors update 11', 'allocation and asks', 'allocation new asks', 'ט מייקרוסופט ישראל', 'הצטרפות מייקרוסופט', 'ישראל הצהרת בריאות', 'הצטרפות ישראל ללא', 'מייקרוסופט ישראל', 'מייקרוסופט הצהרת', 'ישראל ללא בריאות', 'ללא הצהרת בריאות', 'ישראל ללא הצהרת', 'ט הצטרפות ישראל']}	NegativeCrossDomainNoMatch
What's on my calendar for tomorrow afternoon?	CALENDAR	find_calendar_entry	What's on my calendar for <start_date>tomorrow</start_date> <start_time>afternoon</start_time>?	{'UserFileNames': ['cortana_alignment_om_teams_2', 'Build Substrate Intelligence with Scale', 'Cortana in Teams FAQ', '01-23-2019 Action Items Substrate Pipeline - Full_portal update', 'Principal Briefing FINAL Posted Jan 23 2020', 'Knowledge bot MVP spec - Nov 19', 'Deprecation Proposal - January 2020 - LT Review', 'AI 365 30 January 2020', '01-30-2020 Knowledge Bot - Full', 'Convergence_TVS+SA', 'Movies + Showtimes', 'Cortana on Windows Vibranium International Plan', 'Multimedia Shiproom', '2020-01-24 Search and AI PM All Hands', 'FY21 Substrate Budget Planning', 'Welcome', 'Core Relevance Ship Room[Current]', 'Cortana transition announcement - DRAFT', 'Audience Expansion', 'Argus Models for Microsoft Jan  2020'], 'UserFileNameKeyPhrases': ['nl search', 'shiproom', 'nl', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'dev spec', 'msai', 'focused', 'lu', 'fy20', 'dev', 'substrate', 'deprecation plan cortana', 'working session 2020', 'search for messages', 'deprecation cortana', 'cortana in teams', 'deprecation plan']}	NegativeCrossDomainNoMatch
When is my meeting with Gwenyth?	CALENDAR	find_calendar_when	When is my meeting with <contact_name>Gwenyth</contact_name>?	{'UserFileNames': ['Microsoft Search Feature Review Schedule & Agenda', 'Model-D-Azure-overview-CB', 'iOS Core Skills + Extras', 'MSAI_LU_Measurement_Story_02032020', 'Teams Insight', 'Cortana S+A Contract', 'Engineering', 'Knowledge Base (iOS)', 'Meeting Notes', 'Assistant Roadmap Sync', 'Dev Newbie', 'DataMetricsJanuarySummary', 'Cortana on Windows - Scorecard draft', 'MSAI Universal Search and Recommendations', 'Sprint Status', '[PM Spec] Metrics (Client) in PME Scorecard for Experiment', 'Completion Rate Analysis', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', '1-Pager for UCS integration of OMC client data', 'Incubation Program'], 'UserFileNameKeyPhrases': ['shiproom', 'fy20', 'voice skills', 'cortana in teams', 'cortana teams', 'msai', 'voice', 'working session', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'okrs', 'review jan', 'q3', 'bot', 'skills test', 'focused', 'fy20 assistant platform', 'assistant platform okr']}	NegativeCrossDomainNoMatch
When is my next meeting with Yu?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting with <contact_name>Yu</contact_name>?	{'UserFileNames': ['Drive Completion Rate for GA', 'Cortana in Teams FAQ', '2019-07 Action Item Extraction from Meetings - MSAIL Research IL', 'Voice Skills BVT - basic test cases', 'Action Items - Scheduling - Tasks - One Slide on Each - 2020-01-28', '2019-11 MSAI IL Research - Task Modeling Overview with Nitin', 'VCHR9R', 'Cortana in Teams - Contact Resolution in Communication Skills', 'STCI MSAI Shiproom - Current', 'Contact Resolution Spec - Flowcharts', '202001_SubstrateIntelligenceWorkingSession_RoleOfAIInEffectiveMeetings', 'Meetings AI Summary2', 'Extended logging support for MSFT employees', 'GRC Review Office Hours Sign-Up Sheet', 'Drive VST Reach & Retention via Data', 'Real Time Transcription spec - ORIGINAL', 'Cortana UWP app - skill readiness', 'Smart Suggestions in Teams - Jan 2020', 'Welcome', '01-30-2020 Knowledge Bot - Full'], 'UserFileNameKeyPhrases': ['cortana teams', 'cortana on windows', 'cortana in teams', 'cortana windows', 'voice skills', 'shiproom', 'msai', 'voice', 'communication and collaboration', 'collaboration and communication', 'communication collaboration', 'working session', 'smart in teams', 'smart teams', 'teams 2020', 'rajesh', 'wave 1', 'weekly', 'omc', 'h2']}	NegativeCrossDomainNoMatch
When is my meetings?	CALENDAR	find_calendar_when	When is my meetings?	{'UserFileNames': ['Monthly Suzhou team report', 'Cortana UWP app - skill readiness', 'Enteprise QF', 'XAP', 'MSAI Universal Search and Recommendations', 'M365 Search - 3S Instrumentation - Client Contracts', 'Metrics + Signals + Data - FY20 Q3 OKRs', 'GroupsvNextShipRoom_20200130', 'Email Triage Science Update 2020.01.30', 'Substrate Groups Provisioning Latency Reduction', 'Analysis and Data', 'Universal Search + Assistant - FY20 Q3 Backlog', 'S+A OM focused Shiproom 01282020', 'Greenland 2.1 L1 DocData Features', 'Consumer Group', 'Cortana on Windows Vibranium International Plan', 'Group schedule', 'Assistant Roadmap Sync', 'Cortana Deprecations Tracker', 'People Compose - Metrics & Instrumentation'], 'UserFileNameKeyPhrases': ['fy19', 'untitled form', 'substrate', 'untitled', 'deprecation', 'fy19 mw', 'msai', 'cim', 'rajesh', 'fy20', 'ai', 'relevance', 'mpr', 'cortana on windows', 'device experience', 'surface audio app', 'okrs reflection', 'rajesh jan 2020', 'cim open status', 'cortana windows']}	NegativeCrossDomainNoMatch
Define the meeting I have on Monday.	CALENDAR	find_calendar_entry	Define the meeting I have on <start_date>Monday</start_date>.	{'UserFileNames': ['Cortana in Teams FAQ', 'Cortana transition announcement - DRAFT', 'Contract Deal Owner Responsibilities', 'Cortana in Teams R2 Weekly Shiproom', 'Kingston-WorkingDeck', 'Cortana on Windows Vibranium International Plan', 'Android Core skills+Extras', 'iOS Core Skills + Extras', 'Overview_AzureCompliance_Tracker_Current', 'Action Item UXR', 'Substrate Perf Shiproom - 2020-1-29', 'GRC Review Office Hours Sign-Up Sheet', 'Jan- Teams', 'Kingston', 'S+A OM focused Shiproom 01282020', 'People Skill Voice Module', 'Deprecation Deck v2', 'UWP Skill roundup - Privacy Security Compliance tracking', 'PowerPoint Dogfood Testing', 'Excel Dogfood Testing'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana in teams', 'cortana teams', 'msai', 'cortana on windows', 'cortana windows', 'deprecation', 'perf', 'om focused shiproom', 'focused shiproom', 'voice skills', 'om shiproom', 'om focused', 'fy20', 'voice', '3s', 'focused', 'deprecation plan cortana', 'search instrumentation', 'teams working session']}	NegativeCrossDomainNoMatch
Add Reaz to the meeting.	CALENDAR	add_attendee	Add <contact_name>Reaz</contact_name> to the meeting.	{'UserFileNames': ['Cortana UWP app - skill readiness', 'Android Core skills+Extras', 'Assistant', 'Cortana in Teams R2 Weekly Shiproom', 'DRI', 'Transit', 'SM FY20 preview scenarios', 'IcM PowerBI Base Query', 'Cortana_Assistance_RajeshMPR_Jan2020_Deck', 'Cortana Platform Weekly Shiproom 10Feb2020', 'LiorHaimCV', 'FY20 Q3 Assistant Platform - Runtime OKR', 'SM + Cortana Platform Weekly Shiproom 5Feb2020', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'ComplianceAuth_onebox_Err', 'PowerPoint Dog food Testing', 'Excel Dog food Testing', 'Word Dog food Testing', 'PerfStatusUpdates', 'Know Your Product Jan 2020'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'cases report', 'cases', 'cortana teams', 'cases report week', 'test report week', 'test cases week', 'set up cortana', 'set cortana', 'cases week', 'test week', 'ios', 'commute', 'test report', 'os', 'report week', 'core skills', 'core skills extras']}	NegativeCrossDomainNoMatch
